No.,station_name,region,longitude,latitude,elevation
0,Pos Polusi Udara Kemayoran,Java,106.84,-6.15559,4
1,StaGeof Bandung,Java,107.59733,-6.88356,791
2,Pos Polusi Udara Cibeureum,Java,106.85,-6.7,920
3,StaKlim Padang Pariaman,Sumatera,100.29786,-0.54549,128
4,StaKlim Deli Serdang,Sumatera,98.71485,3.62114,25
5,StaMet Sultan Syarif Kasim II,Sumatera,101.44743,0.45924,39
6,StaKlim Mempawah,Borneo,109.19,0.075,2
7,Stasiun GAW Bukit Kototabang,Sumatera,100.3823,-0.2505,895
8,StaMet Sultan Thaha,Sumatera,103.64,-1.63368,26
9,StaKlim Palembang,Sumatera,104.77197,-2.92732,11
10,StaKlim Bengkulu,Sumatera,102.3119,-3.8652,12
11,StaMet Radin Inten II,Sumatera,105.11,-5.16,85
12,StaMet Juanda,Java,112.7833,-7.3846,3
13,StaMet Supadio,Borneo,109.45,-0.14206,3
14,StaKlim Banjarbaru,Borneo,114.84,-3.46225,55
15,StaMet Temindung,Borneo,117.16,-0.48,10
16,StaMet Tjilik Riwut,Borneo,113.95,-2.22,27
17,StaGeof Winangun,Sulawesi,124.8389,1.4434,204
18,StaMet Sam Ratulangi,Sulawesi,124.9234,1.54575,80
19,StaKlim Maros,Sulawesi,119.572,-4.9308,13
20,StaMet Mutiara,Sulawesi,119.90554,-0.91589,79
21,StaMet Ngurah Rai,Bali & Nusa Tenggara,115.17,-8.75,4
22,StaMet BI Lombok,Bali & Nusa Tenggara,116.24982,-8.75277,92
23,StaMet Eltari,Bali & Nusa Tenggara,123.67039,-10.1678,102
24,StaMet Beto Ambari,Sulawesi,122.62,-5.47,233
25,StaGeof Angkasapura,Papua & Maluku,140.70431,-2.51461,400
26,StaKlim Bogor,Java,106.75,-6.5,207
27,StaKlim Malang,Java,112.5979,-7.9008,590
28,StaGeof Tangerang,Java,106.38,-6.1,14
29,StaKlim Semarang,Java,110.3812,-6.9847,6
30,StaKlim Minahasa Utara,Sulawesi,124.9233,1.54585,84
31,Balai Besar Wilayah 1 Medan,Sumatera,98.64,3.5397,0
32,StaGeof Yogyakarta,Java,110.3,-7.82,153
33,StaKlim Tangerang Selatan,Java,106.75084,-6.26151,27
34,StaMet Tegal,Java,109.12103,-6.86817,1
35,StaMet Tarempa,Sumatera,106.25,3.2,2
36,StaKlim Tilongkabila,Sulawesi,123.14,0.556,15
37,StaKlim Kupang,Bali & Nusa Tenggara,123.66722,-10.13861,19
38,StaMet Majene,Sulawesi,118.98054,-3.55074,29
39,StaKlim Aceh Besar,Sumatera,95.464,5.404,40
40,StaKlim Pesawaran,Sumatera,105.18,-5.17236,71
41,StaKlim Lombok Barat,Bali & Nusa Tenggara,116.17094,-8.63627,55
42,StaKlim Muaro Jambi,Sumatera,103.48444,-1.6019,24
43,StaKlim Jembrana,Bali & Nusa Tenggara,114.6176,-8.341,25
44,StaMet Minangkabau,Sumatera,100.28917,-0.79355,6
45,StaMet Serang,Java,106.11,-6.11185,100
46,StaMet Djalaluddin,Sulawesi,122.8525,0.6385,33
47,StaKlim Seram Bagian Barat,Papua & Maluku,128.4,-3.25,5
48,StaKlim Mlati,Java,110.354,-7.731,182
49,StaMet Seigun,Papua & Maluku,131.28575,-0.89118,0
50,StaMet Sepinggan,Borneo,116.9,-1.26,3
51,StaMet Cilacap,Java,109.0149,-7.7189,8
52,StaMet Malikussaleh,Sumatera,96.94749,5.22869,28
53,Stasiun GAW Sorong,Papua & Maluku,131.26,-0.86,64
54,Staklim Jayapura,Papua & Maluku,140.16792,-2.59231,70
55,Staklim Koba,Sumatera,106.422,-2.518,6
56,Staklim Tambang,Sumatera,101.217,0.407,15
57,Staklim Ranomeeto,Sulawesi,122.449,-4.056,30
58,BMG STASIUN MAKASAR,Sulawesi,119.45,-5.14,3
59,BMG STASIUN GORONTALO,Sulawesi,122.78,-0.58,2
60,BMG STASIUN PATTIMURA,Papua & Maluku,128.08,-3.7,12
61,BMG STASIUN KAYUWATU,Sulawesi,124.9,1.5,67
