date,o18,h2,d_excess
2010-09-30,-999.0,-999.0,-999.0
2010-10-31,-999.0,-999.0,-999.0
2010-11-30,-999.0,-999.0,-999.0
2010-12-31,-3.795,-23.053,7.307
2011-01-31,-5.389,-34.387,8.725
2011-02-28,-3.594,-23.534,5.218
2011-03-31,-3.722,-24.524,5.252
2011-04-30,-3.499,-21.031,6.961
2011-05-31,-1.542,-15.457,-3.121
2011-06-30,-999.0,-999.0,-999.0
2011-07-31,-0.451,-4.427,-0.819
2011-08-31,-999.0,-999.0,-999.0
2011-09-30,-999.0,-999.0,-999.0
2011-10-31,-3.276,-20.604,5.604
2011-11-30,-999.0,-999.0,-999.0
2011-12-31,-5.521,-45.546,-1.378
2012-01-31,-5.558,-40.335,4.129
2012-02-29,-3.633,-30.767,-1.703
2012-03-31,-3.504,-29.564,-1.532
2012-04-30,-999.0,-999.0,-999.0
2012-05-31,-5.564,-33.188,11.324
2012-06-30,-1.451,-13.524,-1.916
2012-07-31,-999.0,-999.0,-999.0
2012-08-31,-999.0,-999.0,-999.0
2012-09-30,0.347,2.382,-0.394
2012-10-31,0.004,-4.506,-4.538
2012-11-30,0.847,4.959,-1.817
2012-12-31,-12.127,-94.255,2.761
2013-01-31,-4.979,-38.447,1.385
2013-02-28,-7.965,-64.41,-0.69
2013-03-31,-0.77,-10.286,-4.126
2013-04-30,-999.0,-999.0,-999.0
2013-05-31,-999.0,-999.0,-999.0
2013-06-30,-999.0,-999.0,-999.0
2013-07-31,-999.0,-999.0,-999.0
2013-08-31,-999.0,-999.0,-999.0
2013-09-30,-999.0,-999.0,-999.0
2013-10-31,-999.0,-999.0,-999.0
2013-11-30,-999.0,-999.0,-999.0
2013-12-31,-999.0,-999.0,-999.0
2014-01-31,-999.0,-999.0,-999.0
2014-02-28,-4.17,-30.627,2.733
2014-03-31,-1.317,-10.783,-0.247
2014-04-30,-4.165,-34.66,-1.34
2014-05-31,0.062,-2.188,-2.684
2014-06-30,-3.47,-30.838,-3.078
2014-07-31,-999.0,-999.0,-999.0
2014-08-31,-999.0,-999.0,-999.0
2014-09-30,-999.0,-999.0,-999.0
2014-10-31,-999.0,-999.0,-999.0
2014-11-30,-999.0,-999.0,-999.0
2014-12-31,-999.0,-999.0,-999.0
2015-01-31,-999.0,-999.0,-999.0
2015-02-28,-999.0,-999.0,-999.0
2015-03-31,-999.0,-999.0,-999.0
2015-04-30,-999.0,-999.0,-999.0
2015-05-31,-999.0,-999.0,-999.0
2015-06-30,-999.0,-999.0,-999.0
2015-07-31,-999.0,-999.0,-999.0
2015-08-31,-999.0,-999.0,-999.0
2015-09-30,-999.0,-999.0,-999.0
2015-10-31,-999.0,-999.0,-999.0
2015-11-30,-999.0,-999.0,-999.0
2015-12-31,-7.205,-44.861,12.779
2016-01-31,-3.983,-26.245,5.619
2016-02-29,-7.903,-58.487,4.737
2016-03-31,-9.79,-71.982,6.338
2016-04-30,-7.962,-52.859,10.837
2016-05-31,-999.0,-999.0,-999.0
2016-06-30,-999.0,-999.0,-999.0
2016-07-31,-999.0,-999.0,-999.0
2016-08-31,-4.16,-29.346,3.934
2016-09-30,-4.848,-34.833,3.951
2016-10-31,-2.617,-12.222,8.714
2016-11-30,-5.63,-34.794,10.246
2016-12-31,-999.0,-999.0,-999.0
2017-01-31,-999.0,-999.0,-999.0
2017-02-28,-6.195,-42.219,7.341
2017-03-31,-1.43,-11.662,-0.222
2017-04-30,-8.414,-56.151,11.161
2017-05-31,-999.0,-999.0,-999.0
2017-06-30,-999.0,-999.0,-999.0
2017-07-31,-999.0,-999.0,-999.0
2017-08-31,-999.0,-999.0,-999.0
2017-09-30,-999.0,-999.0,-999.0
