date,precipitation,o18,h2,d_excess
2010-09-30,178.51,-999.0,-999.0,-999.0
2010-10-31,129.72,-999.0,-999.0,-999.0
2010-11-30,221.36,-999.0,-999.0,-999.0
2010-12-31,295.13,-999.0,-999.0,-999.0
2011-01-31,421.09,-999.0,-999.0,-999.0
2011-02-28,166.47,-999.0,-999.0,-999.0
2011-03-31,199.45,-999.0,-999.0,-999.0
2011-04-30,96.57,-999.0,-999.0,-999.0
2011-05-31,107.44,-999.0,-999.0,-999.0
2011-06-30,42.99,-999.0,-999.0,-999.0
2011-07-31,32.72,-999.0,-999.0,-999.0
2011-08-31,0.0,-999.0,-999.0,-999.0
2011-09-30,2.43,-999.0,-999.0,-999.0
2011-10-31,134.93,-999.0,-999.0,-999.0
2011-11-30,130.68,-999.0,-999.0,-999.0
2011-12-31,163.42,-999.0,-999.0,-999.0
2012-01-31,248.39,-999.0,-999.0,-999.0
2012-02-29,217.77,-999.0,-999.0,-999.0
2012-03-31,159.76,-999.0,-999.0,-999.0
2012-04-30,201.69,-999.0,-999.0,-999.0
2012-05-31,120.53,-999.0,-999.0,-999.0
2012-06-30,50.23,-999.0,-999.0,-999.0
2012-07-31,15.01,-999.0,-999.0,-999.0
2012-08-31,42.13,-999.0,-999.0,-999.0
2012-09-30,25.06,-999.0,-999.0,-999.0
2012-10-31,162.23,-999.0,-999.0,-999.0
2012-11-30,95.14,-999.0,-999.0,-999.0
2012-12-31,918.2,-999.0,-999.0,-999.0
2013-01-31,478.0,-999.0,-999.0,-999.0
2013-02-28,321.49,-999.0,-999.0,-999.0
2013-03-31,194.98,-999.0,-999.0,-999.0
2013-04-30,244.9,-999.0,-999.0,-999.0
2013-05-31,175.87,-999.0,-999.0,-999.0
2013-06-30,55.48,-999.0,-999.0,-999.0
2013-07-31,236.29,-999.0,-999.0,-999.0
2013-08-31,38.93,-999.0,-999.0,-999.0
2013-09-30,32.07,-999.0,-999.0,-999.0
2013-10-31,307.35,-999.0,-999.0,-999.0
2013-11-30,269.75,-999.0,-999.0,-999.0
2013-12-31,416.52,-999.0,-999.0,-999.0
2014-01-31,192.35,-999.0,-999.0,-999.0
2014-02-28,395.06,-999.0,-999.0,-999.0
2014-03-31,389.89,-999.0,-999.0,-999.0
2014-04-30,157.26,-999.0,-999.0,-999.0
2014-05-31,85.14,-999.0,-999.0,-999.0
2014-06-30,76.09,-999.0,-999.0,-999.0
2014-07-31,69.44,-999.0,-999.0,-999.0
2014-08-31,64.4,-999.0,-999.0,-999.0
2014-09-30,0.79,-999.0,-999.0,-999.0
2014-10-31,59.86,-999.0,-999.0,-999.0
2014-11-30,218.24,-999.0,-999.0,-999.0
2014-12-31,314.16,-999.0,-999.0,-999.0
2015-01-31,263.17,-999.0,-999.0,-999.0
2015-02-28,305.15,-999.0,-999.0,-999.0
2015-03-31,203.48,-999.0,-999.0,-999.0
2015-04-30,315.15,-999.0,-999.0,-999.0
2015-05-31,55.51,-999.0,-999.0,-999.0
2015-06-30,39.6,-999.0,-999.0,-999.0
2015-07-31,49.71,-999.0,-999.0,-999.0
2015-08-31,2.88,-999.0,-999.0,-999.0
2015-09-30,20.12,-999.0,-999.0,-999.0
2015-10-31,0.0,-999.0,-999.0,-999.0
2015-11-30,62.58,-999.0,-999.0,-999.0
2015-12-31,339.13,-999.0,-999.0,-999.0
2016-01-31,350.03,-999.0,-999.0,-999.0
2016-02-29,382.32,-999.0,-999.0,-999.0
2016-03-31,358.31,-999.0,-999.0,-999.0
2016-04-30,209.37,-999.0,-999.0,-999.0
2016-05-31,151.4,-999.0,-999.0,-999.0
2016-06-30,103.2,-999.0,-999.0,-999.0
2016-07-31,92.56,-999.0,-999.0,-999.0
2016-08-31,65.7,-999.0,-999.0,-999.0
2016-09-30,171.61,-999.0,-999.0,-999.0
2016-10-31,116.29,-999.0,-999.0,-999.0
2016-11-30,246.31,-6.798,-50.054,4.33
2016-12-31,207.45,-999.0,-999.0,-999.0
2017-01-31,247.66,-999.0,-999.0,-999.0
2017-02-28,351.43,-999.0,-999.0,-999.0
2017-03-31,165.01,-4.895,-36.29,2.87
2017-04-30,260.98,-5.774,-37.384,8.808
2017-05-31,159.89,-0.694,-2.804,2.748
2017-06-30,43.04,-8.899,-65.282,5.91
2017-07-31,39.93,1.661,10.214,-3.074
2017-08-31,23.01,-10.204,-75.015,6.617
2017-09-30,63.06,-8.097,-59.202,5.574
