date,o18,h2,d_excess
2010-09-30,-999.0,-999.0,-999.0
2010-10-31,-999.0,-999.0,-999.0
2010-11-30,-999.0,-999.0,-999.0
2010-12-31,-999.0,-999.0,-999.0
2011-01-31,-999.0,-999.0,-999.0
2011-02-28,-999.0,-999.0,-999.0
2011-03-31,-3.348,-24.343,2.441
2011-04-30,-3.122,-21.717,3.259
2011-05-31,-6.742,-41.891,12.045
2011-06-30,-4.955,-30.504,9.136
2011-07-31,-5.275,-34.215,7.985
2011-08-31,-5.013,-26.222,13.882
2011-09-30,-8.58,-57.382,11.258
2011-10-31,-5.124,-37.097,3.895
2011-11-30,-8.524,-61.035,7.157
2011-12-31,-8.422,-55.447,11.929
2012-01-31,-6.497,-42.223,9.753
2012-02-29,-6.817,-46.121,8.415
2012-03-31,-3.036,-16.772,7.516
2012-04-30,-6.669,-47.051,6.301
2012-05-31,-6.102,-37.951,10.865
2012-06-30,-4.213,-20.846,12.858
2012-07-31,-7.343,-49.694,9.05
2012-08-31,-3.909,-19.994,11.278
2012-09-30,-3.129,-16.706,8.326
2012-10-31,-5.704,-32.621,13.011
2012-11-30,-999.0,-999.0,-999.0
2012-12-31,-8.021,-58.848,5.32
2013-01-31,-5.837,-38.06,8.636
2013-02-28,-6.002,-42.386,5.63
2013-03-31,-999.0,-999.0,-999.0
2013-04-30,-2.776,-22.841,-0.633
2013-05-31,-999.0,-999.0,-999.0
2013-06-30,-999.0,-999.0,-999.0
2013-07-31,-999.0,-999.0,-999.0
2013-08-31,-999.0,-999.0,-999.0
2013-09-30,-999.0,-999.0,-999.0
2013-10-31,-999.0,-999.0,-999.0
2013-11-30,-999.0,-999.0,-999.0
2013-12-31,-999.0,-999.0,-999.0
2014-01-31,-999.0,-999.0,-999.0
2014-02-28,-999.0,-999.0,-999.0
2014-03-31,-2.554,-23.088,-2.656
2014-04-30,-999.0,-999.0,-999.0
2014-05-31,-999.0,-999.0,-999.0
2014-06-30,-999.0,-999.0,-999.0
2014-07-31,-999.0,-999.0,-999.0
2014-08-31,-999.0,-999.0,-999.0
2014-09-30,-5.659,-33.296,11.976
2014-10-31,-999.0,-999.0,-999.0
2014-11-30,-999.0,-999.0,-999.0
2014-12-31,-999.0,-999.0,-999.0
2015-01-31,-999.0,-999.0,-999.0
2015-02-28,-999.0,-999.0,-999.0
2015-03-31,-999.0,-999.0,-999.0
2015-04-30,-999.0,-999.0,-999.0
2015-05-31,-999.0,-999.0,-999.0
2015-06-30,-999.0,-999.0,-999.0
2015-07-31,-999.0,-999.0,-999.0
2015-08-31,-999.0,-999.0,-999.0
2015-09-30,-999.0,-999.0,-999.0
2015-10-31,-999.0,-999.0,-999.0
2015-11-30,-999.0,-999.0,-999.0
2015-12-31,-999.0,-999.0,-999.0
2016-01-31,-2.224,-15.364,2.428
2016-02-29,-2.145,-11.404,5.756
2016-03-31,0.155,0.079,-1.161
2016-04-30,-999.0,-999.0,-999.0
2016-05-31,-999.0,-999.0,-999.0
2016-06-30,-999.0,-999.0,-999.0
2016-07-31,-999.0,-999.0,-999.0
2016-08-31,-999.0,-999.0,-999.0
2016-09-30,-3.293,-26.879,-0.535
2016-10-31,-4.829,-39.254,-0.622
2016-11-30,-999.0,-999.0,-999.0
2016-12-31,-999.0,-999.0,-999.0
2017-01-31,-999.0,-999.0,-999.0
2017-02-28,-6.451,-43.447,8.161
2017-03-31,-6.058,-37.43,11.034
2017-04-30,-7.717,-60.377,1.359
2017-05-31,-999.0,-999.0,-999.0
2017-06-30,-1.818,-12.181,2.363
2017-07-31,0.161,-2.616,-3.904
2017-08-31,-8.238,-61.103,4.801
2017-09-30,-999.0,-999.0,-999.0
