date,precipitation,o18,h2,d_excess
2010-09-30,411.68,-999.0,-999.0,-999.0
2010-10-31,197.47,-999.0,-999.0,-999.0
2010-11-30,244.24,-999.0,-999.0,-999.0
2010-12-31,225.6,-999.0,-999.0,-999.0
2011-01-31,259.29,-999.0,-999.0,-999.0
2011-02-28,80.85,-999.0,-999.0,-999.0
2011-03-31,143.06,-999.0,-999.0,-999.0
2011-04-30,315.11,-999.0,-999.0,-999.0
2011-05-31,102.99,-999.0,-999.0,-999.0
2011-06-30,84.59,-999.0,-999.0,-999.0
2011-07-31,57.19,-999.0,-999.0,-999.0
2011-08-31,203.14,-999.0,-999.0,-999.0
2011-09-30,320.04,-999.0,-999.0,-999.0
2011-10-31,261.5,-999.0,-999.0,-999.0
2011-11-30,351.73,-999.0,-999.0,-999.0
2011-12-31,326.55,-999.0,-999.0,-999.0
2012-01-31,75.96,-999.0,-999.0,-999.0
2012-02-29,251.15,-999.0,-999.0,-999.0
2012-03-31,309.68,-999.0,-999.0,-999.0
2012-04-30,133.74,-999.0,-999.0,-999.0
2012-05-31,210.04,-999.0,-999.0,-999.0
2012-06-30,157.23,-999.0,-999.0,-999.0
2012-07-31,246.61,-999.0,-999.0,-999.0
2012-08-31,53.69,-999.0,-999.0,-999.0
2012-09-30,197.94,-999.0,-999.0,-999.0
2012-10-31,234.6,-999.0,-999.0,-999.0
2012-11-30,446.81,-999.0,-999.0,-999.0
2012-12-31,275.8,-999.0,-999.0,-999.0
2013-01-31,118.54,-999.0,-999.0,-999.0
2013-02-28,350.59,-999.0,-999.0,-999.0
2013-03-31,245.69,-999.0,-999.0,-999.0
2013-04-30,208.76,-999.0,-999.0,-999.0
2013-05-31,138.36,-999.0,-999.0,-999.0
2013-06-30,66.26,-999.0,-999.0,-999.0
2013-07-31,175.11,-999.0,-999.0,-999.0
2013-08-31,218.87,-999.0,-999.0,-999.0
2013-09-30,170.55,-999.0,-999.0,-999.0
2013-10-31,489.73,-999.0,-999.0,-999.0
2013-11-30,533.34,-999.0,-999.0,-999.0
2013-12-31,502.95,-999.0,-999.0,-999.0
2014-01-31,244.09,-999.0,-999.0,-999.0
2014-02-28,19.51,-999.0,-999.0,-999.0
2014-03-31,163.74,-999.0,-999.0,-999.0
2014-04-30,423.25,-999.0,-999.0,-999.0
2014-05-31,238.21,-999.0,-999.0,-999.0
2014-06-30,147.09,-999.0,-999.0,-999.0
2014-07-31,181.45,-999.0,-999.0,-999.0
2014-08-31,149.21,-999.0,-999.0,-999.0
2014-09-30,158.6,-999.0,-999.0,-999.0
2014-10-31,334.68,-999.0,-999.0,-999.0
2014-11-30,414.85,-999.0,-999.0,-999.0
2014-12-31,277.31,-999.0,-999.0,-999.0
2015-01-31,137.61,-999.0,-999.0,-999.0
2015-02-28,24.74,-999.0,-999.0,-999.0
2015-03-31,348.42,-999.0,-999.0,-999.0
2015-04-30,168.3,-999.0,-999.0,-999.0
2015-05-31,142.6,-999.0,-999.0,-999.0
2015-06-30,121.43,-999.0,-999.0,-999.0
2015-07-31,24.04,-999.0,-999.0,-999.0
2015-08-31,285.7,-999.0,-999.0,-999.0
2015-09-30,74.73,-999.0,-999.0,-999.0
2015-10-31,82.98,-999.0,-999.0,-999.0
2015-11-30,392.14,-999.0,-999.0,-999.0
2015-12-31,309.93,-999.0,-999.0,-999.0
2016-01-31,256.17,-999.0,-999.0,-999.0
2016-02-29,249.19,-999.0,-999.0,-999.0
2016-03-31,225.13,-999.0,-999.0,-999.0
2016-04-30,392.63,-999.0,-999.0,-999.0
2016-05-31,219.38,-999.0,-999.0,-999.0
2016-06-30,119.34,-999.0,-999.0,-999.0
2016-07-31,285.83,-999.0,-999.0,-999.0
2016-08-31,67.45,-999.0,-999.0,-999.0
2016-09-30,285.84,-999.0,-999.0,-999.0
2016-10-31,203.29,-999.0,-999.0,-999.0
2016-11-30,525.99,-999.0,-999.0,-999.0
2016-12-31,178.27,-999.0,-999.0,-999.0
2017-01-31,333.26,-999.0,-999.0,-999.0
2017-02-28,314.44,-999.0,-999.0,-999.0
2017-03-31,384.99,-999.0,-999.0,-999.0
2017-04-30,504.52,-999.0,-999.0,-999.0
2017-05-31,228.5,-999.0,-999.0,-999.0
2017-06-30,279.82,-999.0,-999.0,-999.0
2017-07-31,169.97,-3.942,-23.273,8.263
2017-08-31,156.2,-9.552,-70.056,6.36
2017-09-30,452.55,-999.0,-999.0,-999.0
