date,o18,h2,d_excess
2010-09-30,-999.0,-999.0,-999.0
2010-10-31,-999.0,-999.0,-999.0
2010-11-30,-999.0,-999.0,-999.0
2010-12-31,-999.0,-999.0,-999.0
2011-01-31,-999.0,-999.0,-999.0
2011-02-28,-5.144,-31.319,9.833
2011-03-31,-9.628,-62.841,14.183
2011-04-30,-6.116,-33.769,15.159
2011-05-31,-5.166,-28.736,12.592
2011-06-30,-4.831,-28.819,9.829
2011-07-31,-4.253,-25.103,8.921
2011-08-31,-6.514,-42.26,9.852
2011-09-30,-7.172,-45.788,11.588
2011-10-31,-8.857,-55.433,15.423
2011-11-30,-7.999,-55.308,8.684
2011-12-31,-9.693,-60.317,17.227
2012-01-31,-5.32,-31.091,11.469
2012-02-29,-6.398,-43.618,7.566
2012-03-31,-8.065,-55.194,9.326
2012-04-30,-8.101,-55.248,9.56
2012-05-31,-5.645,-35.568,9.592
2012-06-30,-4.291,-25.015,9.313
2012-07-31,-6.902,-46.757,8.459
2012-08-31,-6.88,-44.903,10.137
2012-09-30,-6.472,-38.954,12.822
2012-10-31,-7.026,-44.012,12.196
2012-11-30,-999.0,-999.0,-999.0
2012-12-31,-11.722,-83.736,10.04
2013-01-31,-6.964,-45.336,10.376
2013-02-28,-7.532,-52.967,7.289
2013-03-31,-5.796,-40.924,5.444
2013-04-30,-999.0,-999.0,-999.0
2013-05-31,-999.0,-999.0,-999.0
2013-06-30,-999.0,-999.0,-999.0
2013-07-31,-999.0,-999.0,-999.0
2013-08-31,-999.0,-999.0,-999.0
2013-09-30,-999.0,-999.0,-999.0
2013-10-31,-999.0,-999.0,-999.0
2013-11-30,-999.0,-999.0,-999.0
2013-12-31,-999.0,-999.0,-999.0
2014-01-31,-999.0,-999.0,-999.0
2014-02-28,-2.617,-17.658,3.278
2014-03-31,-999.0,-999.0,-999.0
2014-04-30,-8.948,-57.767,13.817
2014-05-31,-4.346,-25.463,9.305
2014-06-30,-7.137,-50.571,6.525
2014-07-31,-999.0,-999.0,-999.0
2014-08-31,-999.0,-999.0,-999.0
2014-09-30,-999.0,-999.0,-999.0
2014-10-31,-999.0,-999.0,-999.0
2014-11-30,-999.0,-999.0,-999.0
2014-12-31,-999.0,-999.0,-999.0
2015-01-31,-999.0,-999.0,-999.0
2015-02-28,-999.0,-999.0,-999.0
2015-03-31,-999.0,-999.0,-999.0
2015-04-30,-999.0,-999.0,-999.0
2015-05-31,-999.0,-999.0,-999.0
2015-06-30,-999.0,-999.0,-999.0
2015-07-31,-999.0,-999.0,-999.0
2015-08-31,-999.0,-999.0,-999.0
2015-09-30,-999.0,-999.0,-999.0
2015-10-31,-999.0,-999.0,-999.0
2015-11-30,-999.0,-999.0,-999.0
2015-12-31,-999.0,-999.0,-999.0
2016-01-31,-1.648,-13.161,0.023
2016-02-29,-1.702,-8.74,4.876
2016-03-31,-2.166,-12.505,4.823
2016-04-30,-999.0,-999.0,-999.0
2016-05-31,-999.0,-999.0,-999.0
2016-06-30,-999.0,-999.0,-999.0
2016-07-31,-999.0,-999.0,-999.0
2016-08-31,-3.695,-24.286,5.274
2016-09-30,-5.748,-33.937,12.047
2016-10-31,-2.688,-14.446,7.058
2016-11-30,-999.0,-999.0,-999.0
2016-12-31,-999.0,-999.0,-999.0
2017-01-31,-7.36,-51.721,7.159
2017-02-28,-7.875,-47.427,15.573
2017-03-31,-4.55,-28.122,8.278
2017-04-30,-999.0,-999.0,-999.0
2017-05-31,-999.0,-999.0,-999.0
2017-06-30,-5.136,-35.698,5.39
2017-07-31,-8.826,-65.706,4.902
2017-08-31,-999.0,-999.0,-999.0
2017-09-30,-999.0,-999.0,-999.0
