date,o18,h2,d_excess
2010-09-30,-999.0,-999.0,-999.0
2010-10-31,-999.0,-999.0,-999.0
2010-11-30,-999.0,-999.0,-999.0
2010-12-31,-3.452,-19.576,8.04
2011-01-31,-4.002,-28.521,3.495
2011-02-28,-4.37,-26.3,8.66
2011-03-31,-1.757,-10.535,3.521
2011-04-30,-5.366,-31.1,11.828
2011-05-31,-3.476,-17.487,10.321
2011-06-30,-2.33,-8.6,10.04
2011-07-31,-999.0,-999.0,-999.0
2011-08-31,-999.0,-999.0,-999.0
2011-09-30,-999.0,-999.0,-999.0
2011-10-31,-0.215,-1.805,-0.085
2011-11-30,-0.562,-2.201,2.295
2011-12-31,-6.052,-40.282,8.134
2012-01-31,-8.311,-56.67,9.818
2012-02-29,-5.381,-32.272,10.776
2012-03-31,-999.0,-999.0,-999.0
2012-04-30,-999.0,-999.0,-999.0
2012-05-31,-5.811,-33.862,12.626
2012-06-30,-1.098,1.323,10.107
2012-07-31,-1.403,-4.805,6.419
2012-08-31,-999.0,-999.0,-999.0
2012-09-30,-999.0,-999.0,-999.0
2012-10-31,-999.0,-999.0,-999.0
2012-11-30,-999.0,-999.0,-999.0
2012-12-31,-5.642,-34.112,11.024
2013-01-31,-4.117,-21.551,11.385
2013-02-28,-3.927,-24.28,7.136
2013-03-31,-2.669,-11.436,9.916
2013-04-30,-999.0,-999.0,-999.0
2013-05-31,-999.0,-999.0,-999.0
2013-06-30,-999.0,-999.0,-999.0
2013-07-31,-999.0,-999.0,-999.0
2013-08-31,-999.0,-999.0,-999.0
2013-09-30,-999.0,-999.0,-999.0
2013-10-31,-999.0,-999.0,-999.0
2013-11-30,-999.0,-999.0,-999.0
2013-12-31,-999.0,-999.0,-999.0
2014-01-31,-4.119,-24.693,8.259
2014-02-28,-4.18,-24.956,8.484
2014-03-31,-3.45,-20.529,7.071
2014-04-30,-1.944,-7.104,8.448
2014-05-31,-0.525,-1.029,3.171
2014-06-30,-999.0,-999.0,-999.0
2014-07-31,-999.0,-999.0,-999.0
2014-08-31,-999.0,-999.0,-999.0
2014-09-30,-999.0,-999.0,-999.0
2014-10-31,-999.0,-999.0,-999.0
2014-11-30,-999.0,-999.0,-999.0
2014-12-31,-999.0,-999.0,-999.0
2015-01-31,-999.0,-999.0,-999.0
2015-02-28,-999.0,-999.0,-999.0
2015-03-31,-999.0,-999.0,-999.0
2015-04-30,-999.0,-999.0,-999.0
2015-05-31,-999.0,-999.0,-999.0
2015-06-30,-999.0,-999.0,-999.0
2015-07-31,-999.0,-999.0,-999.0
2015-08-31,-999.0,-999.0,-999.0
2015-09-30,-999.0,-999.0,-999.0
2015-10-31,-999.0,-999.0,-999.0
2015-11-30,-999.0,-999.0,-999.0
2015-12-31,-999.0,-999.0,-999.0
2016-01-31,-999.0,-999.0,-999.0
2016-02-29,-6.756,-44.598,9.45
2016-03-31,-0.083,1.69,2.354
2016-04-30,-3.166,-13.687,11.641
2016-05-31,-999.0,-999.0,-999.0
2016-06-30,-999.0,-999.0,-999.0
2016-07-31,-999.0,-999.0,-999.0
2016-08-31,-2.009,-2.835,13.237
2016-09-30,-999.0,-999.0,-999.0
2016-10-31,-4.539,-25.782,10.53
2016-11-30,-999.0,-999.0,-999.0
2016-12-31,-999.0,-999.0,-999.0
2017-01-31,-999.0,-999.0,-999.0
2017-02-28,-2.294,-7.697,10.655
2017-03-31,-3.227,-13.586,12.23
2017-04-30,-0.748,3.686,9.67
2017-05-31,-999.0,-999.0,-999.0
2017-06-30,-0.983,2.314,10.178
2017-07-31,-999.0,-999.0,-999.0
2017-08-31,-1.416,-0.222,11.106
2017-09-30,-999.0,-999.0,-999.0
