date,o18,h2,d_excess
2010-09-30,-999.0,-999.0,-999.0
2010-10-31,-999.0,-999.0,-999.0
2010-11-30,-4.605,-34.95,1.89
2010-12-31,-7.638,-56.718,4.386
2011-01-31,-999.0,-999.0,-999.0
2011-02-28,-5.551,-38.197,6.211
2011-03-31,-6.781,-53.023,1.225
2011-04-30,-6.456,-47.491,4.157
2011-05-31,-6.366,-50.819,0.109
2011-06-30,-10.318,-71.226,11.318
2011-07-31,-999.0,-999.0,-999.0
2011-08-31,-999.0,-999.0,-999.0
2011-09-30,1.268,2.455,-7.689
2011-10-31,-999.0,-999.0,-999.0
2011-11-30,-3.633,-26.797,2.267
2011-12-31,-8.127,-56.614,8.402
2012-01-31,-3.974,-37.972,-6.18
2012-02-29,-5.891,-44.357,2.771
2012-03-31,-8.089,-58.608,6.104
2012-04-30,-3.516,-28.441,-0.313
2012-05-31,-4.308,-31.898,2.566
2012-06-30,-4.756,-31.487,6.561
2012-07-31,-4.387,-35.378,-0.282
2012-08-31,-2.532,-13.565,6.691
2012-09-30,-999.0,-999.0,-999.0
2012-10-31,-0.703,-10.464,-4.84
2012-11-30,-999.0,-999.0,-999.0
2012-12-31,-10.139,-79.238,1.874
2013-01-31,-6.279,-47.688,2.544
2013-02-28,-9.73,-71.618,6.222
2013-03-31,-3.911,-26.471,4.817
2013-04-30,-999.0,-999.0,-999.0
2013-05-31,-999.0,-999.0,-999.0
2013-06-30,-999.0,-999.0,-999.0
2013-07-31,-999.0,-999.0,-999.0
2013-08-31,-999.0,-999.0,-999.0
2013-09-30,-999.0,-999.0,-999.0
2013-10-31,-999.0,-999.0,-999.0
2013-11-30,-999.0,-999.0,-999.0
2013-12-31,-999.0,-999.0,-999.0
2014-01-31,-999.0,-999.0,-999.0
2014-02-28,-3.699,-22.789,6.803
2014-03-31,-3.487,-22.295,5.601
2014-04-30,-999.0,-999.0,-999.0
2014-05-31,-999.0,-999.0,-999.0
2014-06-30,-999.0,-999.0,-999.0
2014-07-31,-999.0,-999.0,-999.0
2014-08-31,-999.0,-999.0,-999.0
2014-09-30,-999.0,-999.0,-999.0
2014-10-31,-999.0,-999.0,-999.0
2014-11-30,-999.0,-999.0,-999.0
2014-12-31,-999.0,-999.0,-999.0
2015-01-31,-999.0,-999.0,-999.0
2015-02-28,-999.0,-999.0,-999.0
2015-03-31,-999.0,-999.0,-999.0
2015-04-30,-999.0,-999.0,-999.0
2015-05-31,-999.0,-999.0,-999.0
2015-06-30,-999.0,-999.0,-999.0
2015-07-31,-999.0,-999.0,-999.0
2015-08-31,-999.0,-999.0,-999.0
2015-09-30,-999.0,-999.0,-999.0
2015-10-31,-999.0,-999.0,-999.0
2015-11-30,-999.0,-999.0,-999.0
2015-12-31,-999.0,-999.0,-999.0
2016-01-31,-999.0,-999.0,-999.0
2016-02-29,-999.0,-999.0,-999.0
2016-03-31,-999.0,-999.0,-999.0
2016-04-30,-4.797,-34.448,3.928
2016-05-31,-7.841,-51.707,11.021
2016-06-30,-999.0,-999.0,-999.0
2016-07-31,-999.0,-999.0,-999.0
2016-08-31,-999.0,-999.0,-999.0
2016-09-30,-5.94,-40.459,7.061
2016-10-31,-9.864,-66.377,12.535
2016-11-30,-3.604,-21.483,7.349
2016-12-31,-999.0,-999.0,-999.0
2017-01-31,-999.0,-999.0,-999.0
2017-02-28,-7.828,-53.668,8.956
2017-03-31,-5.288,-45.509,-3.205
2017-04-30,-4.915,-36.545,2.775
2017-05-31,-999.0,-999.0,-999.0
2017-06-30,-999.0,-999.0,-999.0
2017-07-31,-3.727,-21.716,8.1
2017-08-31,-1.691,-10.865,2.663
2017-09-30,-7.946,-57.534,6.034
