date,o18,h2,d_excess
2010-09-30,-10.42,-67.7,15.66
2010-10-31,-8.261,-54.685,11.403
2010-11-30,-10.5,-67.4,16.6
2010-12-31,-10.06,-70.627,9.853
2011-01-31,-999.0,-999.0,-999.0
2011-02-28,-999.0,-999.0,-999.0
2011-03-31,-7.2,-51.299,6.301
2011-04-30,-6.64,-42.8,10.32
2011-05-31,-6.581,-41.871,10.777
2011-06-30,-5.127,-27.782,13.234
2011-07-31,-9.46,-63.5,12.18
2011-08-31,-5.074,-27.646,12.946
2011-09-30,-999.0,-999.0,-999.0
2011-10-31,-999.0,-999.0,-999.0
2011-11-30,-999.0,-999.0,-999.0
2011-12-31,-999.0,-999.0,-999.0
2012-01-31,-999.0,-999.0,-999.0
2012-02-29,-999.0,-999.0,-999.0
2012-03-31,-999.0,-999.0,-999.0
2012-04-30,-10.575,-72.098,12.502
2012-05-31,-5.69,-35.121,10.399
2012-06-30,-5.716,-33.285,12.443
2012-07-31,-9.854,-71.488,7.344
2012-08-31,-5.249,-32.244,9.748
2012-09-30,-999.0,-999.0,-999.0
2012-10-31,-999.0,-999.0,-999.0
2012-11-30,-8.478,-62.375,5.449
2012-12-31,-10.857,-74.989,11.867
2013-01-31,-8.965,-66.183,5.537
2013-02-28,-999.0,-999.0,-999.0
2013-03-31,-7.362,-49.401,9.495
2013-04-30,-999.0,-999.0,-999.0
2013-05-31,-999.0,-999.0,-999.0
2013-06-30,-999.0,-999.0,-999.0
2013-07-31,-999.0,-999.0,-999.0
2013-08-31,-999.0,-999.0,-999.0
2013-09-30,-999.0,-999.0,-999.0
2013-10-31,-999.0,-999.0,-999.0
2013-11-30,-999.0,-999.0,-999.0
2013-12-31,-999.0,-999.0,-999.0
2014-01-31,-999.0,-999.0,-999.0
2014-02-28,-999.0,-999.0,-999.0
2014-03-31,-999.0,-999.0,-999.0
2014-04-30,-999.0,-999.0,-999.0
2014-05-31,-999.0,-999.0,-999.0
2014-06-30,-999.0,-999.0,-999.0
2014-07-31,-999.0,-999.0,-999.0
2014-08-31,-999.0,-999.0,-999.0
2014-09-30,-999.0,-999.0,-999.0
2014-10-31,-999.0,-999.0,-999.0
2014-11-30,-999.0,-999.0,-999.0
2014-12-31,-999.0,-999.0,-999.0
2015-01-31,-999.0,-999.0,-999.0
2015-02-28,-999.0,-999.0,-999.0
2015-03-31,-999.0,-999.0,-999.0
2015-04-30,-999.0,-999.0,-999.0
2015-05-31,-999.0,-999.0,-999.0
2015-06-30,-999.0,-999.0,-999.0
2015-07-31,-999.0,-999.0,-999.0
2015-08-31,-999.0,-999.0,-999.0
2015-09-30,-999.0,-999.0,-999.0
2015-10-31,-999.0,-999.0,-999.0
2015-11-30,-999.0,-999.0,-999.0
2015-12-31,-999.0,-999.0,-999.0
2016-01-31,-999.0,-999.0,-999.0
2016-02-29,-5.82,-39.133,7.427
2016-03-31,-3.431,-22.707,4.741
2016-04-30,-5.914,-40.173,7.139
2016-05-31,-8.277,-60.028,6.188
2016-06-30,-999.0,-999.0,-999.0
2016-07-31,-999.0,-999.0,-999.0
2016-08-31,-1.781,-17.42,-3.172
2016-09-30,-4.234,-29.862,4.01
2016-10-31,-6.356,-42.453,8.395
2016-11-30,-2.964,-13.241,10.471
2016-12-31,-999.0,-999.0,-999.0
2017-01-31,-999.0,-999.0,-999.0
2017-02-28,-8.539,-59.222,9.09
2017-03-31,-5.738,-41.449,4.455
2017-04-30,-9.599,-66.627,10.165
2017-05-31,-8.57,-63.52,5.04
2017-06-30,-999.0,-999.0,-999.0
2017-07-31,-3.104,-20.603,4.229
2017-08-31,-7.67,-54.568,6.792
2017-09-30,-7.843,-59.816,2.928
