date,precipitation,o18,h2,d_excess
2010-09-30,310.46,-999.0,-999.0,-999.0
2010-10-31,373.52,-999.0,-999.0,-999.0
2010-11-30,259.45,-9.121,-63.736,9.232
2010-12-31,268.42,-7.581,-55.917,4.731
2011-01-31,292.68,-7.702,-48.78,12.836
2011-02-28,238.34,-7.431,-54.033,5.415
2011-03-31,201.55,-7.371,-46.429,12.539
2011-04-30,206.9,-6.293,-38.687,11.657
2011-05-31,203.26,-5.825,-31.8,14.8
2011-06-30,87.51,-9.435,-63.5,11.98
2011-07-31,44.5,-2.53,-9.8,10.44
2011-08-31,12.7,-999.0,-999.0,-999.0
2011-09-30,33.06,-2.095,-4.768,11.992
2011-10-31,201.38,-4.345,-21.513,13.247
2011-11-30,247.64,-7.916,-47.424,15.904
2011-12-31,194.15,-10.072,-71.751,8.825
2012-01-31,336.82,-4.813,-32.241,6.263
2012-02-29,283.57,-9.505,-60.787,15.253
2012-03-31,374.63,-7.971,-52.802,10.966
2012-04-30,300.32,-6.827,-44.288,10.328
2012-05-31,102.92,-999.0,-999.0,-999.0
2012-06-30,62.6,-7.766,-50.256,11.872
2012-07-31,45.9,-0.968,-4.225,3.519
2012-08-31,3.12,-999.0,-999.0,-999.0
2012-09-30,47.82,-2.534,-5.18,15.092
2012-10-31,184.1,-2.136,-10.182,6.906
2012-11-30,344.17,-999.0,-999.0,-999.0
2012-12-31,359.44,-999.0,-999.0,-999.0
2013-01-31,792.37,-9.053,-59.86,12.564
2013-02-28,251.69,-7.58,-47.139,13.501
2013-03-31,310.29,-999.0,-999.0,-999.0
2013-04-30,302.85,-999.0,-999.0,-999.0
2013-05-31,342.93,-999.0,-999.0,-999.0
2013-06-30,107.44,-999.0,-999.0,-999.0
2013-07-31,272.64,-999.0,-999.0,-999.0
2013-08-31,79.21,-999.0,-999.0,-999.0
2013-09-30,70.08,-999.0,-999.0,-999.0
2013-10-31,191.02,-999.0,-999.0,-999.0
2013-11-30,227.94,-999.0,-999.0,-999.0
2013-12-31,487.08,-999.0,-999.0,-999.0
2014-01-31,956.71,-999.0,-999.0,-999.0
2014-02-28,502.86,-999.0,-999.0,-999.0
2014-03-31,291.74,-999.0,-999.0,-999.0
2014-04-30,329.38,-7.102,-38.843,17.973
2014-05-31,186.84,-999.0,-999.0,-999.0
2014-06-30,157.77,-4.278,-25.059,9.165
2014-07-31,245.99,-999.0,-999.0,-999.0
2014-08-31,142.77,-999.0,-999.0,-999.0
2014-09-30,21.97,0.071,-8.279,-8.847
2014-10-31,64.55,-999.0,-999.0,-999.0
2014-11-30,380.75,-999.0,-999.0,-999.0
2014-12-31,388.56,-999.0,-999.0,-999.0
2015-01-31,406.54,-999.0,-999.0,-999.0
2015-02-28,464.64,-999.0,-999.0,-999.0
2015-03-31,328.18,-999.0,-999.0,-999.0
2015-04-30,190.05,-999.0,-999.0,-999.0
2015-05-31,124.0,-999.0,-999.0,-999.0
2015-06-30,28.07,-999.0,-999.0,-999.0
2015-07-31,14.96,-999.0,-999.0,-999.0
2015-08-31,15.37,-999.0,-999.0,-999.0
2015-09-30,13.35,-999.0,-999.0,-999.0
2015-10-31,65.54,-999.0,-999.0,-999.0
2015-11-30,379.5,-999.0,-999.0,-999.0
2015-12-31,349.31,-999.0,-999.0,-999.0
2016-01-31,304.22,-999.0,-999.0,-999.0
2016-02-29,556.23,-5.138,-25.776,15.328
2016-03-31,371.42,-9.207,-58.858,14.798
2016-04-30,398.02,-999.0,-999.0,-999.0
2016-05-31,200.31,-999.0,-999.0,-999.0
2016-06-30,175.97,-999.0,-999.0,-999.0
2016-07-31,192.52,-999.0,-999.0,-999.0
2016-08-31,104.4,-3.118,-22.073,2.871
2016-09-30,290.38,-4.075,-16.823,15.777
2016-10-31,335.17,-11.9,-82.077,13.123
2016-11-30,330.67,-999.0,-999.0,-999.0
2016-12-31,139.46,-999.0,-999.0,-999.0
2017-01-31,278.04,-999.0,-999.0,-999.0
2017-02-28,513.07,-3.188,-11.248,14.256
2017-03-31,264.86,-8.413,-54.282,13.022
2017-04-30,356.77,-5.136,-27.496,13.592
2017-05-31,226.68,-999.0,-999.0,-999.0
2017-06-30,130.91,-999.0,-999.0,-999.0
2017-07-31,91.64,-2.633,-4.243,16.821
2017-08-31,34.38,-5.11,-25.018,15.862
2017-09-30,89.43,-7.28,-45.286,12.954
