date,o18,h2,d_excess
2010-09-30,-999.0,-999.0,-999.0
2010-10-31,-999.0,-999.0,-999.0
2010-11-30,-0.66,5.9,11.18
2010-12-31,-5.659,-40.902,4.37
2011-01-31,-4.704,-33.52,4.112
2011-02-28,-3.213,-22.351,3.353
2011-03-31,-6.54,-44.551,7.769
2011-04-30,-999.0,-999.0,-999.0
2011-05-31,-3.072,-19.946,4.63
2011-06-30,-7.65,-49.5,11.7
2011-07-31,0.353,2.849,0.025
2011-08-31,-999.0,-999.0,-999.0
2011-09-30,-999.0,-999.0,-999.0
2011-10-31,-1.76,-16.4,-2.32
2011-11-30,-4.25,-26.4,7.6
2011-12-31,-4.006,-25.81,6.238
2012-01-31,-999.0,-999.0,-999.0
2012-02-29,-3.904,-33.179,-1.947
2012-03-31,-999.0,-999.0,-999.0
2012-04-30,2.523,12.754,-7.43
2012-05-31,-999.0,-999.0,-999.0
2012-06-30,-4.757,-41.747,-3.691
2012-07-31,0.667,5.859,0.523
2012-08-31,-999.0,-999.0,-999.0
2012-09-30,-999.0,-999.0,-999.0
2012-10-31,-999.0,-999.0,-999.0
2012-11-30,-999.0,-999.0,-999.0
2012-12-31,-4.768,-31.318,6.826
2013-01-31,-4.119,-32.214,0.738
2013-02-28,-9.45,-66.836,8.764
2013-03-31,-1.27,-14.815,-4.655
2013-04-30,-999.0,-999.0,-999.0
2013-05-31,-999.0,-999.0,-999.0
2013-06-30,-999.0,-999.0,-999.0
2013-07-31,-999.0,-999.0,-999.0
2013-08-31,-999.0,-999.0,-999.0
2013-09-30,-999.0,-999.0,-999.0
2013-10-31,-999.0,-999.0,-999.0
2013-11-30,-999.0,-999.0,-999.0
2013-12-31,-999.0,-999.0,-999.0
2014-01-31,0.414,-3.255,-6.567
2014-02-28,1.492,2.662,-9.274
2014-03-31,-2.038,-13.401,2.903
2014-04-30,-6.601,-40.615,12.193
2014-05-31,-4.184,-31.242,2.23
2014-06-30,-0.637,-13.321,-8.225
2014-07-31,-999.0,-999.0,-999.0
2014-08-31,-999.0,-999.0,-999.0
2014-09-30,-999.0,-999.0,-999.0
2014-10-31,-999.0,-999.0,-999.0
2014-11-30,-999.0,-999.0,-999.0
2014-12-31,-999.0,-999.0,-999.0
2015-01-31,-999.0,-999.0,-999.0
2015-02-28,-999.0,-999.0,-999.0
2015-03-31,-999.0,-999.0,-999.0
2015-04-30,-999.0,-999.0,-999.0
2015-05-31,-999.0,-999.0,-999.0
2015-06-30,-999.0,-999.0,-999.0
2015-07-31,-999.0,-999.0,-999.0
2015-08-31,-999.0,-999.0,-999.0
2015-09-30,-999.0,-999.0,-999.0
2015-10-31,-999.0,-999.0,-999.0
2015-11-30,-999.0,-999.0,-999.0
2015-12-31,-999.0,-999.0,-999.0
2016-01-31,-999.0,-999.0,-999.0
2016-02-29,-999.0,-999.0,-999.0
2016-03-31,-999.0,-999.0,-999.0
2016-04-30,-0.796,-12.128,-5.76
2016-05-31,-999.0,-999.0,-999.0
2016-06-30,-999.0,-999.0,-999.0
2016-07-31,-999.0,-999.0,-999.0
2016-08-31,-999.0,-999.0,-999.0
2016-09-30,-1.955,-11.294,4.346
2016-10-31,-5.226,-38.013,3.795
2016-11-30,-999.0,-999.0,-999.0
2016-12-31,-999.0,-999.0,-999.0
2017-01-31,-999.0,-999.0,-999.0
2017-02-28,1.288,2.954,-7.35
2017-03-31,-6.771,-46.945,7.223
2017-04-30,-0.994,-13.246,-5.294
2017-05-31,-999.0,-999.0,-999.0
2017-06-30,-999.0,-999.0,-999.0
2017-07-31,-999.0,-999.0,-999.0
2017-08-31,0.569,2.093,-2.459
2017-09-30,-999.0,-999.0,-999.0
