date,o18,h2,d_excess
2010-09-30,-999.0,-999.0,-999.0
2010-10-31,-999.0,-999.0,-999.0
2010-11-30,-12.884,-89.952,13.12
2010-12-31,-8.709,-54.471,15.201
2011-01-31,-5.303,-29.227,13.197
2011-02-28,-7.025,-42.233,13.967
2011-03-31,-5.956,-36.89,10.758
2011-04-30,-5.243,-27.4,14.544
2011-05-31,-4.922,-23.265,16.111
2011-06-30,-4.734,-30.46,7.412
2011-07-31,-999.0,-999.0,-999.0
2011-08-31,-3.964,-20.71,11.002
2011-09-30,-4.757,-27.728,10.328
2011-10-31,-7.831,-49.774,12.874
2011-11-30,-12.198,-86.427,11.157
2011-12-31,-9.975,-74.205,5.595
2012-01-31,-4.623,-26.543,10.441
2012-02-29,-5.764,-36.674,9.438
2012-03-31,-9.681,-65.469,11.979
2012-04-30,-5.412,-33.889,9.407
2012-05-31,-3.142,-17.478,7.658
2012-06-30,-999.0,-999.0,-999.0
2012-07-31,-5.324,-36.523,6.069
2012-08-31,-1.764,0.953,15.065
2012-09-30,-999.0,-999.0,-999.0
2012-10-31,-999.0,-999.0,-999.0
2012-11-30,-999.0,-999.0,-999.0
2012-12-31,-999.0,-999.0,-999.0
2013-01-31,-999.0,-999.0,-999.0
2013-02-28,-999.0,-999.0,-999.0
2013-03-31,-999.0,-999.0,-999.0
2013-04-30,-999.0,-999.0,-999.0
2013-05-31,-999.0,-999.0,-999.0
2013-06-30,-999.0,-999.0,-999.0
2013-07-31,-999.0,-999.0,-999.0
2013-08-31,-999.0,-999.0,-999.0
2013-09-30,-999.0,-999.0,-999.0
2013-10-31,-999.0,-999.0,-999.0
2013-11-30,-999.0,-999.0,-999.0
2013-12-31,-999.0,-999.0,-999.0
2014-01-31,-999.0,-999.0,-999.0
2014-02-28,-3.31,-14.876,11.604
2014-03-31,-999.0,-999.0,-999.0
2014-04-30,-999.0,-999.0,-999.0
2014-05-31,-999.0,-999.0,-999.0
2014-06-30,-8.459,-60.166,7.506
2014-07-31,-4.179,-27.485,5.947
2014-08-31,-999.0,-999.0,-999.0
2014-09-30,-999.0,-999.0,-999.0
2014-10-31,-999.0,-999.0,-999.0
2014-11-30,-999.0,-999.0,-999.0
2014-12-31,-999.0,-999.0,-999.0
2015-01-31,-999.0,-999.0,-999.0
2015-02-28,-999.0,-999.0,-999.0
2015-03-31,-999.0,-999.0,-999.0
2015-04-30,-999.0,-999.0,-999.0
2015-05-31,-999.0,-999.0,-999.0
2015-06-30,-999.0,-999.0,-999.0
2015-07-31,-999.0,-999.0,-999.0
2015-08-31,-999.0,-999.0,-999.0
2015-09-30,-999.0,-999.0,-999.0
2015-10-31,-999.0,-999.0,-999.0
2015-11-30,-999.0,-999.0,-999.0
2015-12-31,-10.906,-77.486,9.762
2016-01-31,-6.645,-46.901,6.259
2016-02-29,-6.638,-40.02,13.084
2016-03-31,-6.398,-45.382,5.802
2016-04-30,-5.561,-31.326,13.162
2016-05-31,-999.0,-999.0,-999.0
2016-06-30,-999.0,-999.0,-999.0
2016-07-31,-999.0,-999.0,-999.0
2016-08-31,-9.12,-65.358,7.602
2016-09-30,-5.379,-31.333,11.699
2016-10-31,-6.257,-38.389,11.667
2016-11-30,-10.176,-70.416,10.992
2016-12-31,-999.0,-999.0,-999.0
2017-01-31,-999.0,-999.0,-999.0
2017-02-28,-7.363,-47.507,11.397
2017-03-31,-7.178,-43.243,14.181
2017-04-30,-6.218,-37.705,12.039
2017-05-31,-9.691,-66.114,11.414
2017-06-30,-6.493,-37.686,14.258
2017-07-31,-6.339,-37.049,13.663
2017-08-31,-8.588,-57.671,11.033
2017-09-30,-9.248,-64.77,9.214
