date,o18,h2,d_excess
2010-09-30,-999.0,-999.0,-999.0
2010-10-31,-999.0,-999.0,-999.0
2010-11-30,-3.669,-15.504,13.848
2010-12-31,-4.691,-25.702,11.826
2011-01-31,-4.765,-27.747,10.373
2011-02-28,-7.208,-53.623,4.041
2011-03-31,-4.225,-28.565,5.235
2011-04-30,-4.879,-34.539,4.493
2011-05-31,-6.682,-47.063,6.393
2011-06-30,-10.933,-80.685,6.779
2011-07-31,-13.018,-96.295,7.849
2011-08-31,-7.717,-55.317,6.419
2011-09-30,-5.326,-36.549,6.059
2011-10-31,-6.715,-45.57,8.15
2011-11-30,-2.63,-20.0,1.04
2011-12-31,-6.055,-44.779,3.661
2012-01-31,-5.534,-41.891,2.381
2012-02-29,-4.371,-27.384,7.584
2012-03-31,-6.516,-45.008,7.12
2012-04-30,-999.0,-999.0,-999.0
2012-05-31,-7.617,-52.465,8.471
2012-06-30,-7.9,-54.34,8.86
2012-07-31,-4.584,-31.984,4.688
2012-08-31,-3.482,-27.197,0.659
2012-09-30,-5.597,-40.651,4.125
2012-10-31,-5.805,-44.08,2.36
2012-11-30,-5.198,-40.201,1.383
2012-12-31,-999.0,-999.0,-999.0
2013-01-31,-7.585,-53.436,7.244
2013-02-28,-4.441,-34.24,1.288
2013-03-31,-999.0,-999.0,-999.0
2013-04-30,-999.0,-999.0,-999.0
2013-05-31,-999.0,-999.0,-999.0
2013-06-30,-999.0,-999.0,-999.0
2013-07-31,-999.0,-999.0,-999.0
2013-08-31,-999.0,-999.0,-999.0
2013-09-30,-999.0,-999.0,-999.0
2013-10-31,-999.0,-999.0,-999.0
2013-11-30,-999.0,-999.0,-999.0
2013-12-31,-999.0,-999.0,-999.0
2014-01-31,-5.118,-33.971,6.973
2014-02-28,-5.416,-34.779,8.549
2014-03-31,-4.501,-24.661,11.347
2014-04-30,-5.011,-31.642,8.446
2014-05-31,-999.0,-999.0,-999.0
2014-06-30,-8.787,-63.608,6.688
2014-07-31,-3.391,-33.818,-6.69
2014-08-31,-999.0,-999.0,-999.0
2014-09-30,-8.788,-62.44,7.864
2014-10-31,-999.0,-999.0,-999.0
2014-11-30,-999.0,-999.0,-999.0
2014-12-31,-999.0,-999.0,-999.0
2015-01-31,-999.0,-999.0,-999.0
2015-02-28,-999.0,-999.0,-999.0
2015-03-31,-999.0,-999.0,-999.0
2015-04-30,-999.0,-999.0,-999.0
2015-05-31,-999.0,-999.0,-999.0
2015-06-30,-999.0,-999.0,-999.0
2015-07-31,-999.0,-999.0,-999.0
2015-08-31,-999.0,-999.0,-999.0
2015-09-30,-999.0,-999.0,-999.0
2015-10-31,-999.0,-999.0,-999.0
2015-11-30,-999.0,-999.0,-999.0
2015-12-31,-999.0,-999.0,-999.0
2016-01-31,-999.0,-999.0,-999.0
2016-02-29,-999.0,-999.0,-999.0
2016-03-31,-999.0,-999.0,-999.0
2016-04-30,-999.0,-999.0,-999.0
2016-05-31,-999.0,-999.0,-999.0
2016-06-30,-999.0,-999.0,-999.0
2016-07-31,-999.0,-999.0,-999.0
2016-08-31,-999.0,-999.0,-999.0
2016-09-30,-999.0,-999.0,-999.0
2016-10-31,-999.0,-999.0,-999.0
2016-11-30,-999.0,-999.0,-999.0
2016-12-31,-999.0,-999.0,-999.0
2017-01-31,-999.0,-999.0,-999.0
2017-02-28,-999.0,-999.0,-999.0
2017-03-31,-999.0,-999.0,-999.0
2017-04-30,-999.0,-999.0,-999.0
2017-05-31,-999.0,-999.0,-999.0
2017-06-30,-999.0,-999.0,-999.0
2017-07-31,-5.016,-28.795,11.333
2017-08-31,-8.337,-53.385,13.311
2017-09-30,-7.374,-45.921,13.071
