date,o18,h2,d_excess
2010-09-30,-999.0,-999.0,-999.0
2010-10-31,-999.0,-999.0,-999.0
2010-11-30,-999.0,-999.0,-999.0
2010-12-31,-6.584,-38.768,13.904
2011-01-31,-4.863,-35.712,3.192
2011-02-28,-4.154,-24.388,8.844
2011-03-31,-5.861,-36.544,10.344
2011-04-30,-7.763,-52.543,9.561
2011-05-31,-8.1,-52.15,12.65
2011-06-30,-5.18,-28.5,12.94
2011-07-31,-1.2,-0.8,8.8
2011-08-31,-999.0,-999.0,-999.0
2011-09-30,-999.0,-999.0,-999.0
2011-10-31,2.51,10.3,-9.78
2011-11-30,-999.0,-999.0,-999.0
2011-12-31,-999.0,-999.0,-999.0
2012-01-31,-999.0,-999.0,-999.0
2012-02-29,-9.271,-62.547,11.621
2012-03-31,-6.99,-49.189,6.731
2012-04-30,-2.913,-13.555,9.749
2012-05-31,-8.614,-55.091,13.821
2012-06-30,-3.249,-18.668,7.324
2012-07-31,-999.0,-999.0,-999.0
2012-08-31,-999.0,-999.0,-999.0
2012-09-30,-999.0,-999.0,-999.0
2012-10-31,-1.338,2.706,13.41
2012-11-30,-999.0,-999.0,-999.0
2012-12-31,-999.0,-999.0,-999.0
2013-01-31,-6.672,-45.031,8.345
2013-02-28,-5.14,-26.409,14.711
2013-03-31,-999.0,-999.0,-999.0
2013-04-30,-999.0,-999.0,-999.0
2013-05-31,-999.0,-999.0,-999.0
2013-06-30,-999.0,-999.0,-999.0
2013-07-31,-999.0,-999.0,-999.0
2013-08-31,-999.0,-999.0,-999.0
2013-09-30,-999.0,-999.0,-999.0
2013-10-31,-999.0,-999.0,-999.0
2013-11-30,-999.0,-999.0,-999.0
2013-12-31,-999.0,-999.0,-999.0
2014-01-31,-999.0,-999.0,-999.0
2014-02-28,-999.0,-999.0,-999.0
2014-03-31,-4.546,-24.236,12.132
2014-04-30,-2.655,-8.783,12.457
2014-05-31,-1.45,-2.908,8.692
2014-06-30,-999.0,-999.0,-999.0
2014-07-31,-0.361,7.402,10.29
2014-08-31,-999.0,-999.0,-999.0
2014-09-30,-999.0,-999.0,-999.0
2014-10-31,-999.0,-999.0,-999.0
2014-11-30,-999.0,-999.0,-999.0
2014-12-31,-999.0,-999.0,-999.0
2015-01-31,-999.0,-999.0,-999.0
2015-02-28,-999.0,-999.0,-999.0
2015-03-31,-999.0,-999.0,-999.0
2015-04-30,-999.0,-999.0,-999.0
2015-05-31,-999.0,-999.0,-999.0
2015-06-30,-999.0,-999.0,-999.0
2015-07-31,-999.0,-999.0,-999.0
2015-08-31,-999.0,-999.0,-999.0
2015-09-30,-999.0,-999.0,-999.0
2015-10-31,-999.0,-999.0,-999.0
2015-11-30,-999.0,-999.0,-999.0
2015-12-31,-999.0,-999.0,-999.0
2016-01-31,-3.583,-17.587,11.077
2016-02-29,-9.124,-60.456,12.536
2016-03-31,-4.749,-24.459,13.533
2016-04-30,-5.418,-29.191,14.153
2016-05-31,-0.641,-5.024,0.104
2016-06-30,-999.0,-999.0,-999.0
2016-07-31,-999.0,-999.0,-999.0
2016-08-31,-999.0,-999.0,-999.0
2016-09-30,-999.0,-999.0,-999.0
2016-10-31,-6.47,-42.04,9.72
2016-11-30,-999.0,-999.0,-999.0
2016-12-31,-999.0,-999.0,-999.0
2017-01-31,-999.0,-999.0,-999.0
2017-02-28,-3.909,-26.316,4.956
2017-03-31,-3.929,-24.285,7.147
2017-04-30,-999.0,-999.0,-999.0
2017-05-31,-999.0,-999.0,-999.0
2017-06-30,-999.0,-999.0,-999.0
2017-07-31,-999.0,-999.0,-999.0
2017-08-31,-2.749,-7.218,14.774
2017-09-30,-999.0,-999.0,-999.0
