date,precipitation,o18,h2
2010-09-30,41.18,-999.0,-999.0
2010-10-31,135.95,-999.0,-999.0
2010-11-30,24.66,-999.0,-999.0
2010-12-31,361.14,-999.0,-999.0
2011-01-31,513.47,-999.0,-999.0
2011-02-28,336.7,-999.0,-999.0
2011-03-31,377.05,-999.0,-999.0
2011-04-30,246.62,-999.0,-999.0
2011-05-31,40.54,-999.0,-999.0
2011-06-30,0.0,-999.0,-999.0
2011-07-31,2.73,-999.0,-999.0
2011-08-31,0.0,-999.0,-999.0
2011-09-30,0.0,-999.0,-999.0
2011-10-31,41.7,-999.0,-999.0
2011-11-30,230.94,-999.0,-999.0
2011-12-31,422.55,-999.0,-999.0
2012-01-31,289.53,-999.0,-999.0
2012-02-29,381.34,-999.0,-999.0
2012-03-31,365.23,-999.0,-999.0
2012-04-30,123.14,-999.0,-999.0
2012-05-31,32.24,-999.0,-999.0
2012-06-30,0.0,-999.0,-999.0
2012-07-31,0.0,-999.0,-999.0
2012-08-31,0.0,-999.0,-999.0
2012-09-30,0.42,-999.0,-999.0
2012-10-31,0.0,-999.0,-999.0
2012-11-30,137.87,-999.0,-999.0
2012-12-31,430.82,-999.0,-999.0
2013-01-31,739.73,-999.0,-999.0
2013-02-28,524.57,-999.0,-999.0
2013-03-31,365.42,-999.0,-999.0
2013-04-30,37.34,-999.0,-999.0
2013-05-31,69.29,-999.0,-999.0
2013-06-30,119.07,-999.0,-999.0
2013-07-31,3.27,-999.0,-999.0
2013-08-31,0.0,-999.0,-999.0
2013-09-30,0.0,-999.0,-999.0
2013-10-31,54.92,-999.0,-999.0
2013-11-30,125.66,-999.0,-999.0
2013-12-31,254.94,-999.0,-999.0
2014-01-31,429.06,-999.0,-999.0
2014-02-28,471.83,-4.726,-29.849
2014-03-31,106.98,-1.262,-14.563
2014-04-30,94.6,-999.0,-999.0
2014-05-31,17.57,-999.0,-999.0
2014-06-30,2.52,-999.0,-999.0
2014-07-31,11.48,-999.0,-999.0
2014-08-31,0.06,-999.0,-999.0
2014-09-30,0.0,-999.0,-999.0
2014-10-31,0.0,-999.0,-999.0
2014-11-30,163.1,-999.0,-999.0
2014-12-31,389.06,-999.0,-999.0
2015-01-31,640.19,-999.0,-999.0
2015-02-28,266.53,-999.0,-999.0
2015-03-31,442.66,-999.0,-999.0
2015-04-30,75.17,-999.0,-999.0
2015-05-31,0.0,-999.0,-999.0
2015-06-30,0.37,-999.0,-999.0
2015-07-31,6.25,-999.0,-999.0
2015-08-31,0.03,-999.0,-999.0
2015-09-30,0.13,-999.0,-999.0
2015-10-31,0.0,-999.0,-999.0
2015-11-30,14.59,-999.0,-999.0
2015-12-31,179.87,-999.0,-999.0
2016-01-31,192.16,-999.0,-999.0
2016-02-29,206.56,-999.0,-999.0
2016-03-31,296.11,-999.0,-999.0
2016-04-30,1.97,-999.0,-999.0
2016-05-31,78.25,-999.0,-999.0
2016-06-30,7.23,-999.0,-999.0
2016-07-31,106.88,-999.0,-999.0
2016-08-31,0.0,-999.0,-999.0
2016-09-30,46.35,-999.0,-999.0
2016-10-31,46.6,-999.0,-999.0
2016-11-30,79.02,-999.0,-999.0
2016-12-31,384.91,-999.0,-999.0
2017-01-31,428.69,-999.0,-999.0
2017-02-28,345.63,-999.0,-999.0
2017-03-31,275.38,-999.0,-999.0
2017-04-30,75.24,-999.0,-999.0
2017-05-31,0.57,-999.0,-999.0
2017-06-30,0.54,-999.0,-999.0
2017-07-31,3.14,-999.0,-999.0
2017-08-31,0.0,-1.395,-4.865
2017-09-30,8.13,-999.0,-999.0
