date,precipitation,o18,h2
2010-09-30,91.19,-999.0,-999.0
2010-10-31,88.05,-999.0,-999.0
2010-11-30,42.41,-999.0,-999.0
2010-12-31,363.17,-999.0,-999.0
2011-01-31,93.27,-999.0,-999.0
2011-02-28,255.02,-999.0,-999.0
2011-03-31,92.67,-999.0,-999.0
2011-04-30,163.0,-999.0,-999.0
2011-05-31,73.03,-999.0,-999.0
2011-06-30,122.35,-999.0,-999.0
2011-07-31,132.39,-999.0,-999.0
2011-08-31,39.16,-999.0,-999.0
2011-09-30,84.57,-999.0,-999.0
2011-10-31,24.04,-999.0,-999.0
2011-11-30,86.36,-999.0,-999.0
2011-12-31,123.88,-999.0,-999.0
2012-01-31,105.76,-999.0,-999.0
2012-02-29,126.8,-999.0,-999.0
2012-03-31,184.58,-999.0,-999.0
2012-04-30,91.22,-999.0,-999.0
2012-05-31,93.96,-999.0,-999.0
2012-06-30,77.44,-999.0,-999.0
2012-07-31,191.26,-999.0,-999.0
2012-08-31,58.42,-999.0,-999.0
2012-09-30,16.08,-0.852,-4.122
2012-10-31,43.88,-3.787,-21.296
2012-11-30,89.38,-5.28,-36.898
2012-12-31,78.68,-2.736,-13.093
2013-01-31,37.46,-5.724,-40.759
2013-02-28,73.59,-4.613,-31.279
2013-03-31,57.32,-6.641,-46.856
2013-04-30,80.85,-999.0,-999.0
2013-05-31,102.86,-999.0,-999.0
2013-06-30,96.89,-999.0,-999.0
2013-07-31,150.3,-999.0,-999.0
2013-08-31,64.65,-999.0,-999.0
2013-09-30,38.44,-999.0,-999.0
2013-10-31,28.45,-999.0,-999.0
2013-11-30,78.27,-999.0,-999.0
2013-12-31,84.57,-3.37,-22.79
2014-01-31,43.3,-8.024,-53.438
2014-02-28,28.71,-999.0,-999.0
2014-03-31,49.95,-999.0,-999.0
2014-04-30,70.25,-999.0,-999.0
2014-05-31,54.77,-999.0,-999.0
2014-06-30,156.86,-999.0,-999.0
2014-07-31,76.24,-999.0,-999.0
2014-08-31,95.58,-999.0,-999.0
2014-09-30,0.89,-999.0,-999.0
2014-10-31,6.81,-999.0,-999.0
2014-11-30,33.93,-999.0,-999.0
2014-12-31,44.78,-999.0,-999.0
2015-01-31,100.07,-999.0,-999.0
2015-02-28,75.24,-999.0,-999.0
2015-03-31,46.91,-999.0,-999.0
2015-04-30,121.45,-999.0,-999.0
2015-05-31,180.51,-999.0,-999.0
2015-06-30,103.86,-999.0,-999.0
2015-07-31,46.32,-999.0,-999.0
2015-08-31,8.68,-999.0,-999.0
2015-09-30,0.0,-999.0,-999.0
2015-10-31,2.72,-999.0,-999.0
2015-11-30,25.63,-999.0,-999.0
2015-12-31,81.06,-999.0,-999.0
2016-01-31,92.03,-999.0,-999.0
2016-02-29,36.22,-999.0,-999.0
2016-03-31,147.63,-999.0,-999.0
2016-04-30,85.59,-999.0,-999.0
2016-05-31,51.19,-999.0,-999.0
2016-06-30,199.57,-999.0,-999.0
2016-07-31,65.14,-999.0,-999.0
2016-08-31,10.89,-999.0,-999.0
2016-09-30,37.67,-999.0,-999.0
2016-10-31,102.54,-999.0,-999.0
2016-11-30,78.03,-999.0,-999.0
2016-12-31,126.72,-999.0,-999.0
2017-01-31,146.43,-999.0,-999.0
2017-02-28,81.67,-999.0,-999.0
2017-03-31,160.1,-999.0,-999.0
2017-04-30,83.52,-999.0,-999.0
2017-05-31,71.2,-999.0,-999.0
2017-06-30,189.96,-999.0,-999.0
2017-07-31,241.56,-999.0,-999.0
2017-08-31,77.78,-999.0,-999.0
2017-09-30,44.34,-999.0,-999.0
