date,precipitation,o18,h2,d_excess
2010-09-30,263.15,-999.0,-999.0,-999.0
2010-10-31,214.76,-999.0,-999.0,-999.0
2010-11-30,179.52,-999.0,-999.0,-999.0
2010-12-31,138.58,-999.0,-999.0,-999.0
2011-01-31,240.43,-999.0,-999.0,-999.0
2011-02-28,154.44,-999.0,-999.0,-999.0
2011-03-31,193.1,-999.0,-999.0,-999.0
2011-04-30,108.19,-999.0,-999.0,-999.0
2011-05-31,73.54,-999.0,-999.0,-999.0
2011-06-30,53.58,-999.0,-999.0,-999.0
2011-07-31,44.89,-999.0,-999.0,-999.0
2011-08-31,0.92,-999.0,-999.0,-999.0
2011-09-30,26.62,-999.0,-999.0,-999.0
2011-10-31,92.65,-999.0,-999.0,-999.0
2011-11-30,107.25,-999.0,-999.0,-999.0
2011-12-31,144.91,-999.0,-999.0,-999.0
2012-01-31,266.17,-999.0,-999.0,-999.0
2012-02-29,170.89,-999.0,-999.0,-999.0
2012-03-31,127.62,-999.0,-999.0,-999.0
2012-04-30,200.68,-999.0,-999.0,-999.0
2012-05-31,68.08,-999.0,-999.0,-999.0
2012-06-30,31.93,-999.0,-999.0,-999.0
2012-07-31,22.69,-999.0,-999.0,-999.0
2012-08-31,0.0,-999.0,-999.0,-999.0
2012-09-30,2.94,-999.0,-999.0,-999.0
2012-10-31,111.66,-999.0,-999.0,-999.0
2012-11-30,130.61,-999.0,-999.0,-999.0
2012-12-31,189.63,-999.0,-999.0,-999.0
2013-01-31,540.83,-999.0,-999.0,-999.0
2013-02-28,205.48,-999.0,-999.0,-999.0
2013-03-31,178.95,-999.0,-999.0,-999.0
2013-04-30,151.09,-999.0,-999.0,-999.0
2013-05-31,212.63,-999.0,-999.0,-999.0
2013-06-30,72.54,-999.0,-999.0,-999.0
2013-07-31,271.51,-999.0,-999.0,-999.0
2013-08-31,88.55,-999.0,-999.0,-999.0
2013-09-30,23.96,-999.0,-999.0,-999.0
2013-10-31,76.97,-999.0,-999.0,-999.0
2013-11-30,162.22,-999.0,-999.0,-999.0
2013-12-31,403.02,-999.0,-999.0,-999.0
2014-01-31,495.48,-999.0,-999.0,-999.0
2014-02-28,385.62,-999.0,-999.0,-999.0
2014-03-31,141.35,-999.0,-999.0,-999.0
2014-04-30,116.62,-999.0,-999.0,-999.0
2014-05-31,118.63,-999.0,-999.0,-999.0
2014-06-30,91.27,-999.0,-999.0,-999.0
2014-07-31,216.39,-999.0,-999.0,-999.0
2014-08-31,16.04,-999.0,-999.0,-999.0
2014-09-30,19.95,-999.0,-999.0,-999.0
2014-10-31,18.41,-999.0,-999.0,-999.0
2014-11-30,171.11,-999.0,-999.0,-999.0
2014-12-31,230.61,-999.0,-999.0,-999.0
2015-01-31,350.49,-999.0,-999.0,-999.0
2015-02-28,372.64,-999.0,-999.0,-999.0
2015-03-31,185.59,-999.0,-999.0,-999.0
2015-04-30,159.96,-999.0,-999.0,-999.0
2015-05-31,44.43,-999.0,-999.0,-999.0
2015-06-30,57.85,-999.0,-999.0,-999.0
2015-07-31,3.23,-999.0,-999.0,-999.0
2015-08-31,4.1,-999.0,-999.0,-999.0
2015-09-30,0.12,-999.0,-999.0,-999.0
2015-10-31,12.19,-999.0,-999.0,-999.0
2015-11-30,126.6,-999.0,-999.0,-999.0
2015-12-31,197.69,-999.0,-999.0,-999.0
2016-01-31,162.5,-999.0,-999.0,-999.0
2016-02-29,388.79,-1.396,-13.428,-2.26
2016-03-31,185.71,-4.341,-38.067,-3.339
2016-04-30,205.05,-2.898,-26.164,-2.98
2016-05-31,77.21,-7.239,-50.391,7.521
2016-06-30,154.26,-999.0,-999.0,-999.0
2016-07-31,121.61,-1.918,0.446,15.79
2016-08-31,109.46,-1.092,-5.589,3.147
2016-09-30,132.42,0.02,-5.322,-5.482
2016-10-31,217.74,-5.43,-45.968,-2.528
2016-11-30,255.0,-999.0,-999.0,-999.0
2016-12-31,138.88,-999.0,-999.0,-999.0
2017-01-31,308.59,-3.94,-31.002,0.518
2017-02-28,378.7,-5.864,-39.718,7.194
2017-03-31,176.6,-3.273,-31.221,-5.037
2017-04-30,144.3,-2.75,-24.016,-2.016
2017-05-31,175.01,-999.0,-999.0,-999.0
2017-06-30,136.96,-999.0,-999.0,-999.0
2017-07-31,141.36,-999.0,-999.0,-999.0
2017-08-31,14.41,-2.71,-21.284,0.396
2017-09-30,71.28,-999.0,-999.0,-999.0
