date,precipitation,o18,h2,d_excess
2010-09-30,271.61,-999.0,-999.0,-999.0
2010-10-31,332.97,-999.0,-999.0,-999.0
2010-11-30,301.04,-999.0,-999.0,-999.0
2010-12-31,249.8,-999.0,-999.0,-999.0
2011-01-31,329.22,-999.0,-999.0,-999.0
2011-02-28,159.18,-999.0,-999.0,-999.0
2011-03-31,197.43,-999.0,-999.0,-999.0
2011-04-30,368.82,-999.0,-999.0,-999.0
2011-05-31,145.06,-999.0,-999.0,-999.0
2011-06-30,84.56,-999.0,-999.0,-999.0
2011-07-31,135.17,-999.0,-999.0,-999.0
2011-08-31,35.94,-999.0,-999.0,-999.0
2011-09-30,28.19,-999.0,-999.0,-999.0
2011-10-31,265.0,-999.0,-999.0,-999.0
2011-11-30,302.06,-999.0,-999.0,-999.0
2011-12-31,183.45,-999.0,-999.0,-999.0
2012-01-31,124.93,-999.0,-999.0,-999.0
2012-02-29,175.4,-999.0,-999.0,-999.0
2012-03-31,241.47,-999.0,-999.0,-999.0
2012-04-30,249.61,-999.0,-999.0,-999.0
2012-05-31,221.4,-999.0,-999.0,-999.0
2012-06-30,60.96,-999.0,-999.0,-999.0
2012-07-31,100.53,-999.0,-999.0,-999.0
2012-08-31,5.37,-999.0,-999.0,-999.0
2012-09-30,266.33,-999.0,-999.0,-999.0
2012-10-31,265.99,-999.0,-999.0,-999.0
2012-11-30,190.1,-999.0,-999.0,-999.0
2012-12-31,269.97,-999.0,-999.0,-999.0
2013-01-31,174.22,-999.0,-999.0,-999.0
2013-02-28,192.49,-999.0,-999.0,-999.0
2013-03-31,353.01,-999.0,-999.0,-999.0
2013-04-30,148.31,-999.0,-999.0,-999.0
2013-05-31,204.58,-999.0,-999.0,-999.0
2013-06-30,90.65,-999.0,-999.0,-999.0
2013-07-31,223.64,-999.0,-999.0,-999.0
2013-08-31,65.34,-999.0,-999.0,-999.0
2013-09-30,301.72,-999.0,-999.0,-999.0
2013-10-31,253.15,-999.0,-999.0,-999.0
2013-11-30,154.64,-999.0,-999.0,-999.0
2013-12-31,216.87,-999.0,-999.0,-999.0
2014-01-31,97.87,-999.0,-999.0,-999.0
2014-02-28,17.21,-999.0,-999.0,-999.0
2014-03-31,154.67,-999.0,-999.0,-999.0
2014-04-30,319.95,-999.0,-999.0,-999.0
2014-05-31,131.35,-999.0,-999.0,-999.0
2014-06-30,113.78,-999.0,-999.0,-999.0
2014-07-31,183.1,-999.0,-999.0,-999.0
2014-08-31,210.89,-999.0,-999.0,-999.0
2014-09-30,84.74,-999.0,-999.0,-999.0
2014-10-31,154.45,-999.0,-999.0,-999.0
2014-11-30,237.7,-999.0,-999.0,-999.0
2014-12-31,253.99,-999.0,-999.0,-999.0
2015-01-31,103.32,-999.0,-999.0,-999.0
2015-02-28,119.84,-999.0,-999.0,-999.0
2015-03-31,188.35,-999.0,-999.0,-999.0
2015-04-30,335.33,-999.0,-999.0,-999.0
2015-05-31,138.43,-999.0,-999.0,-999.0
2015-06-30,45.69,-999.0,-999.0,-999.0
2015-07-31,62.04,-999.0,-999.0,-999.0
2015-08-31,41.95,-999.0,-999.0,-999.0
2015-09-30,0.6,-999.0,-999.0,-999.0
2015-10-31,34.74,-999.0,-999.0,-999.0
2015-11-30,290.81,-999.0,-999.0,-999.0
2015-12-31,259.0,-999.0,-999.0,-999.0
2016-01-31,129.66,-999.0,-999.0,-999.0
2016-02-29,222.26,-999.0,-999.0,-999.0
2016-03-31,109.63,-999.0,-999.0,-999.0
2016-04-30,251.43,-11.356,-77.452,13.396
2016-05-31,109.07,-7.258,-44.526,13.538
2016-06-30,98.6,-4.361,-28.456,6.432
2016-07-31,113.06,-5.921,-41.768,5.6
2016-08-31,146.58,-999.0,-999.0,-999.0
2016-09-30,120.5,-999.0,-999.0,-999.0
2016-10-31,185.78,-999.0,-999.0,-999.0
2016-11-30,302.44,-999.0,-999.0,-999.0
2016-12-31,117.59,-999.0,-999.0,-999.0
2017-01-31,142.77,-999.0,-999.0,-999.0
2017-02-28,222.94,-999.0,-999.0,-999.0
2017-03-31,203.14,-999.0,-999.0,-999.0
2017-04-30,336.78,-999.0,-999.0,-999.0
2017-05-31,286.37,-999.0,-999.0,-999.0
2017-06-30,162.97,-999.0,-999.0,-999.0
2017-07-31,83.99,-3.305,-14.77,11.67
2017-08-31,73.54,-9.738,-66.572,11.332
2017-09-30,213.25,-999.0,-999.0,-999.0
