date,precipitation,o18,h2
2010-09-30,247.92,-999.0,-999.0
2010-10-31,289.82,-999.0,-999.0
2010-11-30,206.92,-999.0,-999.0
2010-12-31,404.18,-999.0,-999.0
2011-01-31,339.87,-999.0,-999.0
2011-02-28,234.57,-999.0,-999.0
2011-03-31,140.04,-999.0,-999.0
2011-04-30,263.15,-999.0,-999.0
2011-05-31,124.43,-999.0,-999.0
2011-06-30,13.13,-999.0,-999.0
2011-07-31,6.05,-999.0,-999.0
2011-08-31,0.0,-999.0,-999.0
2011-09-30,7.31,-999.0,-999.0
2011-10-31,52.38,-999.0,-999.0
2011-11-30,386.84,-999.0,-999.0
2011-12-31,225.24,-999.0,-999.0
2012-01-31,388.83,-999.0,-999.0
2012-02-29,288.88,-999.0,-999.0
2012-03-31,281.9,-999.0,-999.0
2012-04-30,139.25,-999.0,-999.0
2012-05-31,126.72,-999.0,-999.0
2012-06-30,41.97,-999.0,-999.0
2012-07-31,1.44,-999.0,-999.0
2012-08-31,0.0,-999.0,-999.0
2012-09-30,5.27,-999.0,-999.0
2012-10-31,110.33,-999.0,-999.0
2012-11-30,289.52,-999.0,-999.0
2012-12-31,346.48,-999.0,-999.0
2013-01-31,436.94,-999.0,-999.0
2013-02-28,325.12,-999.0,-999.0
2013-03-31,89.11,-999.0,-999.0
2013-04-30,260.81,-999.0,-999.0
2013-05-31,160.14,-999.0,-999.0
2013-06-30,246.92,-999.0,-999.0
2013-07-31,104.06,-999.0,-999.0
2013-08-31,56.99,-999.0,-999.0
2013-09-30,0.69,-999.0,-999.0
2013-10-31,53.47,-999.0,-999.0
2013-11-30,180.3,-999.0,-999.0
2013-12-31,262.46,-999.0,-999.0
2014-01-31,711.22,-999.0,-999.0
2014-02-28,278.24,-999.0,-999.0
2014-03-31,178.97,-999.0,-999.0
2014-04-30,102.74,-999.0,-999.0
2014-05-31,95.37,-999.0,-999.0
2014-06-30,83.85,-999.0,-999.0
2014-07-31,103.3,-999.0,-999.0
2014-08-31,24.33,-999.0,-999.0
2014-09-30,0.0,-999.0,-999.0
2014-10-31,13.4,-999.0,-999.0
2014-11-30,221.52,-999.0,-999.0
2014-12-31,320.12,-999.0,-999.0
2015-01-31,226.38,-999.0,-999.0
2015-02-28,279.89,-999.0,-999.0
2015-03-31,278.27,-999.0,-999.0
2015-04-30,301.91,-999.0,-999.0
2015-05-31,96.34,-999.0,-999.0
2015-06-30,18.66,-999.0,-999.0
2015-07-31,0.02,-999.0,-999.0
2015-08-31,8.98,-999.0,-999.0
2015-09-30,0.22,-999.0,-999.0
2015-10-31,0.0,-999.0,-999.0
2015-11-30,158.27,-999.0,-999.0
2015-12-31,276.97,-999.0,-999.0
2016-01-31,223.57,-999.0,-999.0
2016-02-29,360.12,-999.0,-999.0
2016-03-31,83.99,-999.0,-999.0
2016-04-30,220.72,-999.0,-999.0
2016-05-31,110.53,-999.0,-999.0
2016-06-30,158.97,-999.0,-999.0
2016-07-31,145.16,-999.0,-999.0
2016-08-31,153.38,-999.0,-999.0
2016-09-30,365.1,-999.0,-999.0
2016-10-31,276.32,-999.0,-999.0
2016-11-30,304.64,-999.0,-999.0
2016-12-31,269.26,-999.0,-999.0
2017-01-31,293.95,-999.0,-999.0
2017-02-28,375.18,-4.599,-25.429
2017-03-31,171.21,-5.802,-38.733
2017-04-30,235.56,0.142,1.038
2017-05-31,95.18,-999.0,-999.0
2017-06-30,104.45,-999.0,-999.0
2017-07-31,13.9,-999.0,-999.0
2017-08-31,1.89,-999.0,-999.0
2017-09-30,54.62,-999.0,-999.0
