date,precipitation,o18,h2,d_excess
2010-09-30,261.18,-999.0,-999.0,-999.0
2010-10-31,335.75,-999.0,-999.0,-999.0
2010-11-30,223.56,-5.67,-45.3,0.06
2010-12-31,288.43,-999.0,-999.0,-999.0
2011-01-31,356.43,-999.0,-999.0,-999.0
2011-02-28,172.34,-999.0,-999.0,-999.0
2011-03-31,273.54,-9.146,-75.724,-2.556
2011-04-30,374.81,-8.712,-61.974,7.722
2011-05-31,236.54,-2.49,-21.7,-1.78
2011-06-30,133.25,1.73,5.4,-8.44
2011-07-31,369.77,-5.065,-31.272,9.248
2011-08-31,116.35,-3.29,-27.0,-0.68
2011-09-30,196.5,-1.691,-17.923,-4.395
2011-10-31,194.88,0.34,-5.5,-8.22
2011-11-30,254.08,-3.088,-22.792,1.912
2011-12-31,345.28,-5.372,-45.3,-2.324
2012-01-31,369.63,-6.768,-54.09,0.054
2012-02-29,204.78,-7.156,-59.085,-1.837
2012-03-31,296.45,-999.0,-999.0,-999.0
2012-04-30,390.9,-999.0,-999.0,-999.0
2012-05-31,187.92,-2.381,-19.981,-0.933
2012-06-30,176.13,-5.946,-42.102,5.466
2012-07-31,191.8,-5.252,-41.884,0.132
2012-08-31,221.54,-999.0,-999.0,-999.0
2012-09-30,90.06,-3.987,-32.497,-0.601
2012-10-31,206.09,-0.719,-7.486,-1.734
2012-11-30,260.17,-5.212,-42.185,-0.489
2012-12-31,320.3,-999.0,-999.0,-999.0
2013-01-31,205.28,-5.659,-47.891,-2.619
2013-02-28,407.28,-4.711,-35.237,2.451
2013-03-31,362.32,-999.0,-999.0,-999.0
2013-04-30,336.72,-999.0,-999.0,-999.0
2013-05-31,290.75,-999.0,-999.0,-999.0
2013-06-30,169.33,-999.0,-999.0,-999.0
2013-07-31,161.84,-999.0,-999.0,-999.0
2013-08-31,187.65,-999.0,-999.0,-999.0
2013-09-30,274.45,-999.0,-999.0,-999.0
2013-10-31,269.21,-999.0,-999.0,-999.0
2013-11-30,516.96,-999.0,-999.0,-999.0
2013-12-31,292.94,-999.0,-999.0,-999.0
2014-01-31,281.32,-999.0,-999.0,-999.0
2014-02-28,164.15,-999.0,-999.0,-999.0
2014-03-31,339.12,-999.0,-999.0,-999.0
2014-04-30,198.85,-8.848,-69.741,1.043
2014-05-31,331.91,-3.33,-23.636,3.004
2014-06-30,220.74,-999.0,-999.0,-999.0
2014-07-31,80.69,-999.0,-999.0,-999.0
2014-08-31,113.85,-999.0,-999.0,-999.0
2014-09-30,25.83,-999.0,-999.0,-999.0
2014-10-31,122.18,-999.0,-999.0,-999.0
2014-11-30,443.98,-999.0,-999.0,-999.0
2014-12-31,509.02,-999.0,-999.0,-999.0
2015-01-31,362.9,-999.0,-999.0,-999.0
2015-02-28,219.23,-999.0,-999.0,-999.0
2015-03-31,249.08,-999.0,-999.0,-999.0
2015-04-30,386.75,-999.0,-999.0,-999.0
2015-05-31,258.81,-999.0,-999.0,-999.0
2015-06-30,297.49,-999.0,-999.0,-999.0
2015-07-31,300.28,-999.0,-999.0,-999.0
2015-08-31,41.32,-999.0,-999.0,-999.0
2015-09-30,0.1,-999.0,-999.0,-999.0
2015-10-31,89.19,-999.0,-999.0,-999.0
2015-11-30,73.46,-999.0,-999.0,-999.0
2015-12-31,225.64,-999.0,-999.0,-999.0
2016-01-31,212.83,-999.0,-999.0,-999.0
2016-02-29,156.76,-999.0,-999.0,-999.0
2016-03-31,124.98,-2.469,-16.506,3.246
2016-04-30,493.39,-5.722,-45.877,-0.101
2016-05-31,248.35,-4.398,-37.872,-2.688
2016-06-30,187.42,-999.0,-999.0,-999.0
2016-07-31,217.34,-999.0,-999.0,-999.0
2016-08-31,107.52,-999.0,-999.0,-999.0
2016-09-30,268.41,-2.56,-16.305,4.175
2016-10-31,251.01,-8.015,-59.388,4.732
2016-11-30,354.2,-999.0,-999.0,-999.0
2016-12-31,457.39,-999.0,-999.0,-999.0
2017-01-31,201.13,-0.835,-8.771,-2.091
2017-02-28,174.69,-5.882,-47.005,0.051
2017-03-31,173.23,-999.0,-999.0,-999.0
2017-04-30,316.43,-999.0,-999.0,-999.0
2017-05-31,531.01,-999.0,-999.0,-999.0
2017-06-30,410.45,-999.0,-999.0,-999.0
2017-07-31,216.94,-2.019,-18.95,-2.798
2017-08-31,296.46,-3.899,-32.115,-0.923
2017-09-30,143.65,-999.0,-999.0,-999.0
