date,precipitation,o18,h2
2010-09-30,194.14,-999.0,-999.0
2010-10-31,168.33,-999.0,-999.0
2010-11-30,173.51,-999.0,-999.0
2010-12-31,298.57,-999.0,-999.0
2011-01-31,150.09,-999.0,-999.0
2011-02-28,380.16,-999.0,-999.0
2011-03-31,248.34,-999.0,-999.0
2011-04-30,178.76,-999.0,-999.0
2011-05-31,143.28,-999.0,-999.0
2011-06-30,31.14,-999.0,-999.0
2011-07-31,54.03,-999.0,-999.0
2011-08-31,0.0,-999.0,-999.0
2011-09-30,8.9,-999.0,-999.0
2011-10-31,46.82,-999.0,-999.0
2011-11-30,176.82,-999.0,-999.0
2011-12-31,333.41,-999.0,-999.0
2012-01-31,358.74,-999.0,-999.0
2012-02-29,324.14,-999.0,-999.0
2012-03-31,315.99,-999.0,-999.0
2012-04-30,142.29,-999.0,-999.0
2012-05-31,105.15,-999.0,-999.0
2012-06-30,26.52,-999.0,-999.0
2012-07-31,1.9,-999.0,-999.0
2012-08-31,0.0,-999.0,-999.0
2012-09-30,0.0,-999.0,-999.0
2012-10-31,35.08,-0.944,-3.562
2012-11-30,154.6,-3.35,-19.601
2012-12-31,315.4,-7.455,-50.054
2013-01-31,420.89,-8.714,-58.755
2013-02-28,285.47,-5.34,-31.99
2013-03-31,149.77,-999.0,-999.0
2013-04-30,124.62,-999.0,-999.0
2013-05-31,226.19,-999.0,-999.0
2013-06-30,305.75,-999.0,-999.0
2013-07-31,193.62,-999.0,-999.0
2013-08-31,12.47,-999.0,-999.0
2013-09-30,0.23,-999.0,-999.0
2013-10-31,12.41,-999.0,-999.0
2013-11-30,129.27,-999.0,-999.0
2013-12-31,326.7,-999.0,-999.0
2014-01-31,467.66,-4.455,-24.258
2014-02-28,233.27,-4.077,-23.774
2014-03-31,224.3,-4.209,-22.946
2014-04-30,124.31,-999.0,-999.0
2014-05-31,164.46,-4.188,-23.26
2014-06-30,77.48,-3.997,-23.911
2014-07-31,64.01,-2.089,-13.489
2014-08-31,13.28,-999.0,-999.0
2014-09-30,0.05,-999.0,-999.0
2014-10-31,6.32,-999.0,-999.0
2014-11-30,118.77,-999.0,-999.0
2014-12-31,297.23,-999.0,-999.0
2015-01-31,346.65,-999.0,-999.0
2015-02-28,391.76,-999.0,-999.0
2015-03-31,268.36,-999.0,-999.0
2015-04-30,163.86,-999.0,-999.0
2015-05-31,72.75,-999.0,-999.0
2015-06-30,2.57,-999.0,-999.0
2015-07-31,4.31,-999.0,-999.0
2015-08-31,19.44,-999.0,-999.0
2015-09-30,0.0,-999.0,-999.0
2015-10-31,2.62,-999.0,-999.0
2015-11-30,56.76,-999.0,-999.0
2015-12-31,263.71,-999.0,-999.0
2016-01-31,261.74,-999.0,-999.0
2016-02-29,454.36,-999.0,-999.0
2016-03-31,119.51,-999.0,-999.0
2016-04-30,90.99,-999.0,-999.0
2016-05-31,108.56,-999.0,-999.0
2016-06-30,104.7,-999.0,-999.0
2016-07-31,187.8,-999.0,-999.0
2016-08-31,50.16,-0.292,-0.589
2016-09-30,338.64,-2.727,-14.879
2016-10-31,266.38,-9.038,-59.762
2016-11-30,236.72,-5.626,-32.273
2016-12-31,456.87,-999.0,-999.0
2017-01-31,403.84,-999.0,-999.0
2017-02-28,415.49,-999.0,-999.0
2017-03-31,190.35,-999.0,-999.0
2017-04-30,172.32,-999.0,-999.0
2017-05-31,81.68,-999.0,-999.0
2017-06-30,65.53,-999.0,-999.0
2017-07-31,74.2,-999.0,-999.0
2017-08-31,5.47,-999.0,-999.0
2017-09-30,38.77,-6.56,-39.761
