date,precipitation,o18,h2
2010-09-30,269.73,-999.0,-999.0
2010-10-31,171.19,-999.0,-999.0
2010-11-30,99.57,-0.66,5.9
2010-12-31,797.66,-5.659,-40.902
2011-01-31,267.43,-4.704,-33.52
2011-02-28,254.42,-3.213,-22.351
2011-03-31,382.04,-6.54,-44.551
2011-04-30,180.47,-999.0,-999.0
2011-05-31,103.9,-3.072,-19.946
2011-06-30,266.08,-7.65,-49.5
2011-07-31,188.02,0.353,2.849
2011-08-31,9.66,-999.0,-999.0
2011-09-30,23.46,-999.0,-999.0
2011-10-31,40.81,-1.76,-16.4
2011-11-30,289.99,-4.25,-26.4
2011-12-31,387.63,-4.006,-25.81
2012-01-31,241.02,-999.0,-999.0
2012-02-29,226.63,-3.904,-33.179
2012-03-31,324.39,-999.0,-999.0
2012-04-30,131.63,2.523,12.754
2012-05-31,247.72,-999.0,-999.0
2012-06-30,144.08,-4.757,-41.747
2012-07-31,45.96,0.667,5.859
2012-08-31,2.81,-999.0,-999.0
2012-09-30,0.87,-999.0,-999.0
2012-10-31,45.94,-999.0,-999.0
2012-11-30,85.94,-999.0,-999.0
2012-12-31,221.53,-4.768,-31.318
2013-01-31,215.33,-4.119,-32.214
2013-02-28,115.34,-9.45,-66.836
2013-03-31,145.78,-1.27,-14.815
2013-04-30,203.53,-999.0,-999.0
2013-05-31,327.35,-999.0,-999.0
2013-06-30,221.0,-999.0,-999.0
2013-07-31,291.58,-999.0,-999.0
2013-08-31,9.25,-999.0,-999.0
2013-09-30,6.14,-999.0,-999.0
2013-10-31,41.53,-999.0,-999.0
2013-11-30,344.62,-999.0,-999.0
2013-12-31,395.37,-999.0,-999.0
2014-01-31,166.06,0.414,-3.255
2014-02-28,196.9,1.492,2.662
2014-03-31,154.34,-2.038,-13.401
2014-04-30,349.17,-6.601,-40.615
2014-05-31,281.39,-4.184,-31.242
2014-06-30,286.41,-0.637,-13.321
2014-07-31,16.13,-999.0,-999.0
2014-08-31,22.72,-999.0,-999.0
2014-09-30,3.15,-999.0,-999.0
2014-10-31,0.92,-999.0,-999.0
2014-11-30,158.46,-999.0,-999.0
2014-12-31,446.79,-999.0,-999.0
2015-01-31,231.45,-999.0,-999.0
2015-02-28,321.77,-999.0,-999.0
2015-03-31,190.86,-999.0,-999.0
2015-04-30,406.26,-999.0,-999.0
2015-05-31,171.46,-999.0,-999.0
2015-06-30,70.12,-999.0,-999.0
2015-07-31,1.61,-999.0,-999.0
2015-08-31,0.0,-999.0,-999.0
2015-09-30,0.0,-999.0,-999.0
2015-10-31,0.0,-999.0,-999.0
2015-11-30,33.36,-999.0,-999.0
2015-12-31,251.56,-999.0,-999.0
2016-01-31,80.7,-999.0,-999.0
2016-02-29,461.93,-999.0,-999.0
2016-03-31,192.75,-999.0,-999.0
2016-04-30,260.43,-0.796,-12.128
2016-05-31,139.85,-999.0,-999.0
2016-06-30,169.43,-999.0,-999.0
2016-07-31,282.13,-999.0,-999.0
2016-08-31,30.43,-999.0,-999.0
2016-09-30,61.37,-1.955,-11.294
2016-10-31,208.2,-5.226,-38.013
2016-11-30,339.17,-999.0,-999.0
2016-12-31,321.46,-999.0,-999.0
2017-01-31,431.31,-999.0,-999.0
2017-02-28,178.88,1.288,2.954
2017-03-31,386.18,-6.771,-46.945
2017-04-30,276.5,-0.994,-13.246
2017-05-31,301.55,-999.0,-999.0
2017-06-30,515.19,-999.0,-999.0
2017-07-31,161.0,-999.0,-999.0
2017-08-31,40.96,0.569,2.093
2017-09-30,78.33,-999.0,-999.0
