date,precipitation,o18,h2
2010-09-30,408.99,-999.0,-999.0
2010-10-31,257.45,-999.0,-999.0
2010-11-30,213.51,-1.853,-6.517
2010-12-31,581.81,-3.239,-12.444
2011-01-31,219.94,-999.0,-999.0
2011-02-28,153.27,-6.746,-50.153
2011-03-31,144.17,-3.118,-15.763
2011-04-30,332.86,-5.542,-38.682
2011-05-31,171.18,-5.18,-35.338
2011-06-30,11.3,0.298,7.7
2011-07-31,0.0,-999.0,-999.0
2011-08-31,0.0,-999.0,-999.0
2011-09-30,3.16,-0.23,9.7
2011-10-31,104.3,0.982,6.871
2011-11-30,181.31,-1.983,-2.523
2011-12-31,312.12,-5.664,-39.321
2012-01-31,422.04,-5.297,-42.977
2012-02-29,204.85,-3.999,-28.59
2012-03-31,345.86,-4.547,-32.901
2012-04-30,100.26,-999.0,-999.0
2012-05-31,224.16,-999.0,-999.0
2012-06-30,2.1,-999.0,-999.0
2012-07-31,7.52,-999.0,-999.0
2012-08-31,0.0,-999.0,-999.0
2012-09-30,1.61,-0.672,3.384
2012-10-31,0.0,-999.0,-999.0
2012-11-30,167.77,-999.0,-999.0
2012-12-31,279.09,-999.0,-999.0
2013-01-31,385.04,-2.955,-17.053
2013-02-28,322.15,-3.719,-21.673
2013-03-31,188.37,-999.0,-999.0
2013-04-30,119.62,-999.0,-999.0
2013-05-31,152.14,-999.0,-999.0
2013-06-30,139.01,-999.0,-999.0
2013-07-31,9.52,-999.0,-999.0
2013-08-31,0.0,-999.0,-999.0
2013-09-30,0.0,-999.0,-999.0
2013-10-31,23.4,-999.0,-999.0
2013-11-30,146.83,-999.0,-999.0
2013-12-31,438.68,-999.0,-999.0
2014-01-31,466.48,-999.0,-999.0
2014-02-28,156.44,-4.184,-26.552
2014-03-31,186.38,-999.0,-999.0
2014-04-30,150.64,-999.0,-999.0
2014-05-31,15.9,-3.714,-18.456
2014-06-30,0.0,-999.0,-999.0
2014-07-31,148.9,-999.0,-999.0
2014-08-31,0.1,-999.0,-999.0
2014-09-30,0.0,-999.0,-999.0
2014-10-31,0.0,-999.0,-999.0
2014-11-30,230.3,-999.0,-999.0
2014-12-31,340.2,-999.0,-999.0
2015-01-31,186.86,-999.0,-999.0
2015-02-28,146.48,-999.0,-999.0
2015-03-31,292.84,-999.0,-999.0
2015-04-30,215.25,-999.0,-999.0
2015-05-31,54.48,-999.0,-999.0
2015-06-30,3.52,-999.0,-999.0
2015-07-31,0.0,-999.0,-999.0
2015-08-31,0.0,-999.0,-999.0
2015-09-30,0.0,-999.0,-999.0
2015-10-31,0.0,-999.0,-999.0
2015-11-30,54.15,-999.0,-999.0
2015-12-31,230.14,-999.0,-999.0
2016-01-31,215.66,-2.312,-25.147
2016-02-29,487.26,-5.991,-36.673
2016-03-31,293.83,-3.203,-26.168
2016-04-30,56.9,-0.958,4.192
2016-05-31,71.7,-2.279,-10.883
2016-06-30,117.85,-999.0,-999.0
2016-07-31,55.51,-999.0,-999.0
2016-08-31,4.7,-999.0,-999.0
2016-09-30,373.8,-999.0,-999.0
2016-10-31,102.32,-1.197,1.233
2016-11-30,326.41,-1.593,-0.281
2016-12-31,308.4,-999.0,-999.0
2017-01-31,317.63,-999.0,-999.0
2017-02-28,476.46,-999.0,-999.0
2017-03-31,257.91,-7.11,-45.712
2017-04-30,134.59,-999.0,-999.0
2017-05-31,16.47,-999.0,-999.0
2017-06-30,26.42,-999.0,-999.0
2017-07-31,12.42,-999.0,-999.0
2017-08-31,0.6,-999.0,-999.0
2017-09-30,2.31,-999.0,-999.0
