date,precipitation,o18,h2
2010-09-30,461.53,-999.0,-999.0
2010-10-31,380.6,-999.0,-999.0
2010-11-30,270.99,-999.0,-999.0
2010-12-31,322.13,-999.0,-999.0
2011-01-31,161.89,-999.0,-999.0
2011-02-28,282.38,-999.0,-999.0
2011-03-31,498.0,-999.0,-999.0
2011-04-30,220.47,-999.0,-999.0
2011-05-31,526.28,-999.0,-999.0
2011-06-30,196.2,-999.0,-999.0
2011-07-31,411.86,-999.0,-999.0
2011-08-31,262.89,-999.0,-999.0
2011-09-30,341.26,-999.0,-999.0
2011-10-31,293.48,-999.0,-999.0
2011-11-30,261.02,-999.0,-999.0
2011-12-31,217.52,-999.0,-999.0
2012-01-31,201.04,-999.0,-999.0
2012-02-29,211.99,-999.0,-999.0
2012-03-31,613.88,-999.0,-999.0
2012-04-30,282.55,-999.0,-999.0
2012-05-31,191.44,-999.0,-999.0
2012-06-30,336.55,-999.0,-999.0
2012-07-31,582.45,-999.0,-999.0
2012-08-31,398.54,-999.0,-999.0
2012-09-30,177.66,-999.0,-999.0
2012-10-31,141.07,-999.0,-999.0
2012-11-30,180.83,-999.0,-999.0
2012-12-31,157.0,-999.0,-999.0
2013-01-31,241.49,-999.0,-999.0
2013-02-28,215.06,-999.0,-999.0
2013-03-31,124.33,-999.0,-999.0
2013-04-30,371.03,-999.0,-999.0
2013-05-31,702.22,-999.0,-999.0
2013-06-30,173.68,-999.0,-999.0
2013-07-31,494.7,-999.0,-999.0
2013-08-31,442.21,-999.0,-999.0
2013-09-30,248.36,-999.0,-999.0
2013-10-31,136.14,-999.0,-999.0
2013-11-30,263.53,-999.0,-999.0
2013-12-31,253.19,-999.0,-999.0
2014-01-31,138.4,-999.0,-999.0
2014-02-28,140.77,-999.0,-999.0
2014-03-31,199.25,-999.0,-999.0
2014-04-30,79.4,-999.0,-999.0
2014-05-31,532.2,-999.0,-999.0
2014-06-30,356.47,-999.0,-999.0
2014-07-31,113.88,-999.0,-999.0
2014-08-31,358.53,-999.0,-999.0
2014-09-30,106.68,-999.0,-999.0
2014-10-31,89.87,-999.0,-999.0
2014-11-30,221.21,-999.0,-999.0
2014-12-31,260.47,-999.0,-999.0
2015-01-31,159.16,-999.0,-999.0
2015-02-28,298.51,-999.0,-999.0
2015-03-31,226.03,-999.0,-999.0
2015-04-30,278.58,-999.0,-999.0
2015-05-31,119.62,-999.0,-999.0
2015-06-30,501.37,-999.0,-999.0
2015-07-31,141.75,-999.0,-999.0
2015-08-31,45.48,-999.0,-999.0
2015-09-30,9.46,-999.0,-999.0
2015-10-31,125.32,-999.0,-999.0
2015-11-30,274.79,-999.0,-999.0
2015-12-31,74.47,-999.0,-999.0
2016-01-31,191.05,-3.278,-21.499
2016-02-29,47.21,-999.0,-999.0
2016-03-31,96.91,-999.0,-999.0
2016-04-30,153.81,-999.0,-999.0
2016-05-31,443.13,-999.0,-999.0
2016-06-30,400.33,-999.0,-999.0
2016-07-31,639.71,-999.0,-999.0
2016-08-31,244.22,-8.855,-61.38
2016-09-30,397.67,-999.0,-999.0
2016-10-31,198.33,-999.0,-999.0
2016-11-30,183.68,-999.0,-999.0
2016-12-31,334.19,-999.0,-999.0
2017-01-31,155.29,-6.936,-46.975
2017-02-28,388.38,-9.156,-63.24
2017-03-31,371.39,-8.345,-61.011
2017-04-30,439.48,-9.714,-68.903
2017-05-31,618.4,-7.808,-56.856
2017-06-30,526.85,-999.0,-999.0
2017-07-31,372.82,-5.01,-28.458
2017-08-31,607.77,-3.856,-18.996
2017-09-30,735.02,-5.724,-34.399
