date,precipitation,o18,h2,d_excess
2010-09-30,165.6,-999.0,-999.0,-999.0
2010-10-31,110.7,-999.0,-999.0,-999.0
2010-11-30,79.82,-999.0,-999.0,-999.0
2010-12-31,131.29,-999.0,-999.0,-999.0
2011-01-31,91.21,-999.0,-999.0,-999.0
2011-02-28,125.27,-999.0,-999.0,-999.0
2011-03-31,109.83,-999.0,-999.0,-999.0
2011-04-30,206.82,-999.0,-999.0,-999.0
2011-05-31,101.98,-999.0,-999.0,-999.0
2011-06-30,122.8,-999.0,-999.0,-999.0
2011-07-31,76.85,-999.0,-999.0,-999.0
2011-08-31,77.23,-999.0,-999.0,-999.0
2011-09-30,135.22,-999.0,-999.0,-999.0
2011-10-31,90.77,-999.0,-999.0,-999.0
2011-11-30,123.35,-999.0,-999.0,-999.0
2011-12-31,158.64,-999.0,-999.0,-999.0
2012-01-31,180.13,-999.0,-999.0,-999.0
2012-02-29,115.87,-999.0,-999.0,-999.0
2012-03-31,108.78,-999.0,-999.0,-999.0
2012-04-30,181.04,-999.0,-999.0,-999.0
2012-05-31,97.97,-999.0,-999.0,-999.0
2012-06-30,134.46,-999.0,-999.0,-999.0
2012-07-31,260.41,-999.0,-999.0,-999.0
2012-08-31,137.52,-999.0,-999.0,-999.0
2012-09-30,37.04,-999.0,-999.0,-999.0
2012-10-31,117.32,-999.0,-999.0,-999.0
2012-11-30,72.13,-999.0,-999.0,-999.0
2012-12-31,163.34,-999.0,-999.0,-999.0
2013-01-31,142.54,-999.0,-999.0,-999.0
2013-02-28,54.84,-999.0,-999.0,-999.0
2013-03-31,77.66,-999.0,-999.0,-999.0
2013-04-30,207.87,-999.0,-999.0,-999.0
2013-05-31,203.07,-999.0,-999.0,-999.0
2013-06-30,110.18,-999.0,-999.0,-999.0
2013-07-31,212.69,-999.0,-999.0,-999.0
2013-08-31,314.74,-999.0,-999.0,-999.0
2013-09-30,118.36,-999.0,-999.0,-999.0
2013-10-31,101.25,-999.0,-999.0,-999.0
2013-11-30,95.72,-999.0,-999.0,-999.0
2013-12-31,96.35,-12.359,-99.547,-0.675
2014-01-31,145.61,-5.439,-42.048,1.464
2014-02-28,48.17,-7.487,-54.259,5.637
2014-03-31,96.34,-6.163,-50.868,-1.564
2014-04-30,160.97,-3.553,-24.597,3.827
2014-05-31,216.46,-10.554,-78.13,6.302
2014-06-30,108.82,-7.742,-52.449,9.487
2014-07-31,118.89,-5.155,-29.676,11.564
2014-08-31,180.6,-8.524,-59.749,8.443
2014-09-30,53.4,-999.0,-999.0,-999.0
2014-10-31,51.67,-999.0,-999.0,-999.0
2014-11-30,190.43,-999.0,-999.0,-999.0
2014-12-31,129.13,-999.0,-999.0,-999.0
2015-01-31,97.83,-999.0,-999.0,-999.0
2015-02-28,114.27,-999.0,-999.0,-999.0
2015-03-31,128.69,-999.0,-999.0,-999.0
2015-04-30,117.89,-999.0,-999.0,-999.0
2015-05-31,89.45,-999.0,-999.0,-999.0
2015-06-30,114.53,-999.0,-999.0,-999.0
2015-07-31,39.45,-999.0,-999.0,-999.0
2015-08-31,8.35,-999.0,-999.0,-999.0
2015-09-30,26.48,-999.0,-999.0,-999.0
2015-10-31,35.33,-999.0,-999.0,-999.0
2015-11-30,107.34,0.365,-4.25,-7.17
2015-12-31,79.99,-999.0,-999.0,-999.0
2016-01-31,76.14,-999.0,-999.0,-999.0
2016-02-29,69.02,-4.801,-41.091,-2.683
2016-03-31,116.36,-3.621,-26.286,2.682
2016-04-30,275.07,-4.39,-44.354,-9.234
2016-05-31,145.8,-999.0,-999.0,-999.0
2016-06-30,131.37,-3.219,-27.917,-2.165
2016-07-31,150.73,-6.314,-43.516,6.996
2016-08-31,79.21,-999.0,-999.0,-999.0
2016-09-30,120.19,-999.0,-999.0,-999.0
2016-10-31,204.61,-999.0,-999.0,-999.0
2016-11-30,76.43,-999.0,-999.0,-999.0
2016-12-31,156.2,-999.0,-999.0,-999.0
2017-01-31,76.51,-999.0,-999.0,-999.0
2017-02-28,89.62,-7.976,-51.064,12.744
2017-03-31,101.15,-11.051,-84.27,4.138
2017-04-30,82.0,-9.163,-64.491,8.813
2017-05-31,182.47,-9.118,-65.033,7.911
2017-06-30,191.38,-999.0,-999.0,-999.0
2017-07-31,134.39,-5.058,-28.392,12.072
2017-08-31,144.44,-999.0,-999.0,-999.0
2017-09-30,140.07,-999.0,-999.0,-999.0
