date,precipitation,o18,h2,d_excess
2010-09-30,271.05,-999.0,-999.0,-999.0
2010-10-31,222.49,-999.0,-999.0,-999.0
2010-11-30,320.24,-999.0,-999.0,-999.0
2010-12-31,382.05,-999.0,-999.0,-999.0
2011-01-31,369.64,-999.0,-999.0,-999.0
2011-02-28,422.56,-8.15,-53.0,12.2
2011-03-31,341.24,-999.0,-999.0,-999.0
2011-04-30,290.24,-999.0,-999.0,-999.0
2011-05-31,247.93,-5.543,-42.595,1.749
2011-06-30,257.85,-999.0,-999.0,-999.0
2011-07-31,40.71,-999.0,-999.0,-999.0
2011-08-31,94.33,-999.0,-999.0,-999.0
2011-09-30,138.01,-999.0,-999.0,-999.0
2011-10-31,201.8,-999.0,-999.0,-999.0
2011-11-30,210.41,-999.0,-999.0,-999.0
2011-12-31,408.17,-999.0,-999.0,-999.0
2012-01-31,244.45,-999.0,-999.0,-999.0
2012-02-29,228.24,-999.0,-999.0,-999.0
2012-03-31,634.79,-999.0,-999.0,-999.0
2012-04-30,378.91,-999.0,-999.0,-999.0
2012-05-31,236.71,-999.0,-999.0,-999.0
2012-06-30,242.71,-2.3,-22.836,-4.436
2012-07-31,260.76,-8.757,-66.568,3.488
2012-08-31,111.02,-999.0,-999.0,-999.0
2012-09-30,39.12,-999.0,-999.0,-999.0
2012-10-31,147.19,-999.0,-999.0,-999.0
2012-11-30,297.49,-3.13,-24.578,0.462
2012-12-31,392.33,-4.814,-33.002,5.51
2013-01-31,427.43,-2.652,-19.738,1.478
2013-02-28,549.97,-2.464,-15.252,4.46
2013-03-31,82.65,0.25,-1.717,-3.717
2013-04-30,355.19,-999.0,-999.0,-999.0
2013-05-31,687.18,-999.0,-999.0,-999.0
2013-06-30,114.89,-999.0,-999.0,-999.0
2013-07-31,331.15,-999.0,-999.0,-999.0
2013-08-31,170.92,-999.0,-999.0,-999.0
2013-09-30,128.27,-999.0,-999.0,-999.0
2013-10-31,150.15,-999.0,-999.0,-999.0
2013-11-30,266.67,-999.0,-999.0,-999.0
2013-12-31,271.04,-999.0,-999.0,-999.0
2014-01-31,524.4,-999.0,-999.0,-999.0
2014-02-28,213.15,-4.675,-29.441,7.959
2014-03-31,127.92,-2.26,-9.761,8.319
2014-04-30,94.3,-5.132,-31.76,9.296
2014-05-31,275.86,-999.0,-999.0,-999.0
2014-06-30,256.38,-999.0,-999.0,-999.0
2014-07-31,82.99,-999.0,-999.0,-999.0
2014-08-31,113.44,-999.0,-999.0,-999.0
2014-09-30,74.39,-999.0,-999.0,-999.0
2014-10-31,68.68,-999.0,-999.0,-999.0
2014-11-30,235.93,-999.0,-999.0,-999.0
2014-12-31,265.64,-999.0,-999.0,-999.0
2015-01-31,289.11,-999.0,-999.0,-999.0
2015-02-28,339.49,-999.0,-999.0,-999.0
2015-03-31,21.27,-999.0,-999.0,-999.0
2015-04-30,96.7,-999.0,-999.0,-999.0
2015-05-31,183.57,-999.0,-999.0,-999.0
2015-06-30,214.57,-999.0,-999.0,-999.0
2015-07-31,14.48,-999.0,-999.0,-999.0
2015-08-31,0.07,-999.0,-999.0,-999.0
2015-09-30,0.0,-999.0,-999.0,-999.0
2015-10-31,5.2,-999.0,-999.0,-999.0
2015-11-30,252.93,-999.0,-999.0,-999.0
2015-12-31,154.45,-999.0,-999.0,-999.0
2016-01-31,135.53,-2.909,-8.228,15.044
2016-02-29,92.77,-1.185,0.56,10.04
2016-03-31,11.47,-999.0,-999.0,-999.0
2016-04-30,98.16,-999.0,-999.0,-999.0
2016-05-31,267.54,-999.0,-999.0,-999.0
2016-06-30,365.25,-999.0,-999.0,-999.0
2016-07-31,232.62,-999.0,-999.0,-999.0
2016-08-31,45.07,-6.494,-43.469,8.483
2016-09-30,237.03,-6.348,-39.159,11.625
2016-10-31,194.43,-7.971,-53.44,10.328
2016-11-30,313.32,-12.758,-88.898,13.166
2016-12-31,519.79,-999.0,-999.0,-999.0
2017-01-31,534.37,-5.208,-28.792,12.872
2017-02-28,292.84,-9.9,-67.378,11.822
2017-03-31,391.86,-9.215,-64.448,9.272
2017-04-30,110.06,-9.049,-65.393,6.999
2017-05-31,256.85,-999.0,-999.0,-999.0
2017-06-30,409.03,-5.163,-29.178,12.126
2017-07-31,154.47,-3.103,-15.374,9.45
2017-08-31,129.79,-5.0,-26.935,13.065
2017-09-30,180.16,-999.0,-999.0,-999.0
