1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
,-5.173,,-3.142,-4.058,-6.102,-5.506,-6.576,-7.045,,-3.789,-5.564,-7.627,-5.69,-4.308,-2.381,-4.552,,-8.205,,,-5.811,,,,,-4.658,-8.614,-7.067,-7.014,,-5.645,,,,,,,,,,,,,,,,,,,,,,,-7.617,,,,,,-8.115,-8.075
,-6.554,-7.766,,-0.648,-4.213,-4.17,-4.446,-6.032,0.835,-6.996,-1.451,-7.721,-5.716,-4.756,-5.946,-5.959,-2.3,-9.417,-6.224,,-1.098,,,-4.757,,-5.812,-3.249,-5.781,,,-4.291,,-7.037,,,,,,,,,,,,,,,,,,,,,-7.9,,,,,,-4.96,-6.836
-2.992,,-0.968,-5.324,-4.361,-7.343,-6.35,-6.592,-5.408,,-5.578,,,-9.854,-4.387,-5.252,-5.46,-8.757,-6.331,-4.905,,-1.403,,,0.667,,-3.61,,,-2.389,,-6.902,,-1.351,,,,,,,,,,,,,,,,,,,,,-4.584,,,,,,,-6.506
,,,-1.764,-4.0,-3.909,-5.53,-6.037,,-3.927,-1.41,,,-5.249,-2.532,,-0.908,,-2.768,,,,,,,,-1.523,,,,,-6.88,,,,,,,,,,,,,,,,,,,,,,,-3.482,,,,,,,-5.37
,-1.476,-2.534,,-5.182,-3.129,-6.782,-3.071,-2.031,,,0.347,,,,-3.987,,,,,,,,,,,-1.468,,,,,-6.472,,,,,,,,,,-0.672,,,,,,,,,,,,,-5.597,,,,,-0.852,,-2.26
-1.626,-2.286,-2.136,,-5.392,-5.704,-4.65,-6.363,-3.608,-2.852,-3.193,0.004,,,-0.703,-0.719,-0.273,,-1.804,-4.227,,,,,,,-2.739,-1.338,-2.404,-2.254,,-7.026,-0.796,,-0.944,-7.198,,,,,,,,,,,,,,,,,,,-5.805,,,,,-3.787,,-3.889
-6.193,,,,-6.13,,,,,-4.659,-8.537,0.847,,-8.478,,-5.212,,-3.13,,-5.196,,,,,,,,,,,,,,,-3.35,,,,,,,,,,,,,,,,,,,,-5.198,,,,,-5.28,,-6.505
-4.917,,,,-3.706,-8.021,,-11.167,-8.61,,-6.9,-12.127,-4.551,-10.857,-10.139,,-10.235,-4.814,-3.009,,,-5.642,,,-4.768,,-10.531,,,-9.1,,-11.722,,-9.958,-7.455,,,,,,,,,,,,,,,,,,,,,,,,,-2.736,-4.159,-1.6
,-8.949,-9.053,,-4.88,-5.837,-6.551,-4.473,-4.444,-4.283,-4.685,-4.979,-5.375,-8.965,-6.279,-5.659,-5.46,-2.652,-5.812,-10.03,,-4.117,,,-4.119,,-6.793,-6.672,-6.676,-7.792,,-6.964,-6.126,-7.658,-8.714,,,,,,,-2.955,,,,,,,,,,,,,-7.585,,,,,-5.724,-2.255,-5.409
,-7.331,-7.58,,-8.322,-6.002,-8.028,-11.026,-6.692,-6.112,-6.845,-7.965,-4.12,,-9.73,-4.711,-8.25,-2.464,-1.938,-6.615,,-3.927,,-5.005,-9.45,,-6.123,-5.14,-6.859,-4.887,,-7.532,-6.45,-7.349,-5.34,,,,,,,-3.719,,,,,,,,,,,,,-4.441,,,,,-4.613,-5.207,-6.81
,-4.823,,,1.522,,,,,-2.439,,-0.77,-3.596,-7.362,-3.911,,,0.25,-2.636,-5.502,,-2.669,,,-1.27,,,,-4.859,-3.776,,-5.796,-4.892,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.641,-6.824,
,,,,,-2.776,,,,,,,,,,,-9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.174,,,,,,,,,,,,,,,,,,,,,,
-7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-11.606,,,,,,,,,,,,,,,,,,,,-12.359,,,,,,,,,,,,,,,,,,,-5.357,,,,,,,,,,,,,,,,,,,,-3.37,,
