1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
,-28.591,,-17.478,-28.452,-37.951,-31.622,-41.116,-44.595,,-26.6,-33.188,-52.796,-35.121,-31.898,-19.981,-34.053,,-55.47,,,-33.862,,,,,-27.045,-55.091,-44.405,-43.763,,-35.568,,,,,,,,,,,,,,,,,,,,,,,-52.465,,,,,,-59.339,-53.993
,-41.481,-50.256,,-5.087,-20.846,-19.523,-19.429,-37.07,4.944,-50.289,-13.524,-53.959,-33.285,-31.487,-42.102,-40.258,-22.836,-69.652,-44.288,,1.323,,,-41.747,,-35.435,-18.668,-31.613,,,-25.015,,-43.66,,,,,,,,,,,,,,,,,,,,,-54.34,,,,,,-32.265,-50.542
-16.196,,-4.225,-36.523,-30.042,-49.694,-39.428,-38.637,-35.103,,-40.989,,,-71.488,-35.378,-41.884,-44.427,-66.568,-42.45,-29.111,,-4.805,,,5.859,,-17.053,,,-12.969,,-46.757,,-4.308,,,,,,,,,,,,,,,,,,,,,-31.984,,,,,,,-53.377
,,,0.953,-32.211,-19.994,-36.873,-36.15,,-32.166,-9.943,,,-32.244,-13.565,,-15.848,,-23.192,,,,,,,,-3.894,,,,,-44.903,,,,,,,,,,,,,,,,,,,,,,,-27.197,,,,,,,-42.429
,-6.827,-5.18,,-34.567,-16.706,-46.297,-17.777,-3.059,,,2.382,,,,-32.497,,,,,,,,,,,-2.726,,,,,-38.954,,,,,,,,,,3.384,,,,,,,,,,,,,-40.651,,,,,-4.122,,-20.344
-1.388,-6.643,-10.182,,-35.604,-32.621,-28.055,-37.347,-19.025,-16.576,-20.566,-4.506,,,-10.464,-7.486,-3.918,,-13.599,-25.629,,,,,,,-10.392,2.706,-5.291,-8.799,,-44.012,4.416,,-3.562,-47.821,,,,,,,,,,,,,,,,,,,-44.08,,,,,-21.296,,-23.872
-36.124,,,,-49.833,,,,,-30.633,-60.143,4.959,,-62.375,,-42.185,,-24.578,,-30.448,,,,,,,,,,,,,,,-19.601,,,,,,,,,,,,,,,,,,,,-40.201,,,,,-36.898,,-43.189
-26.529,,,,-26.904,-58.848,,-79.561,-58.422,,-49.655,-94.255,-36.044,-74.989,-79.238,,-76.777,-33.002,-19.763,,,-34.112,,,-31.318,,-77.085,,,-60.526,,-83.736,,-69.545,-50.054,,,,,,,,,,,,,,,,,,,,,,,,,-13.093,-23.688,-7.938
,-64.413,-59.86,,-44.619,-38.06,-44.544,-29.616,-27.643,-33.501,-34.931,-38.447,-39.974,-66.183,-47.688,-47.891,-44.419,-19.738,-41.491,-70.068,,-21.551,,,-32.214,,-45.336,-45.031,-40.591,-56.425,,-45.336,-46.054,-52.826,-58.755,,,,,,,-17.053,,,,,,,,,,,,,-53.436,,,,,-40.759,-15.154,-37.506
,-48.279,-47.139,,-63.534,-42.386,-53.667,-80.419,-46.943,-54.549,-54.903,-64.41,-25.302,,-71.618,-35.237,-62.261,-15.252,-12.24,-49.534,,-24.28,,-29.533,-66.836,,-37.82,-26.409,-46.52,-29.129,,-52.967,-44.645,-51.901,-31.99,,,,,,,-21.673,,,,,,,,,,,,,-34.24,,,,,-31.279,-36.019,-50.857
,-32.724,,,3.862,,,,,-16.431,,-10.286,-20.35,-49.401,-26.471,,,-1.717,-12.119,-39.484,,-11.436,,,-14.815,,,,-27.96,-21.507,,-40.924,-28.851,,,,,,,,,,,,,,,,,,,,,,,,,,,-46.856,-46.497,
,,,,,-22.841,,,,,,,,,,,-70.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-45.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37.044,,,,,,,,,,,,,,,,,,,,,,
-49.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-24.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-38.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
